policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
Random,open_33,2,0,0.9552549427679501,148.29999999999586,348.2000000000107,inf,242424.00000000003,15100.0,3096,665.3000000000827,ALL_DEPLETED
Random,open_33,2,1,0.951092611862643,174.49999999999437,434.9000000000304,inf,242424.00000000003,13925.0,3086,661.6000000000819,ALL_DEPLETED
Random,open_33,2,2,0.9719042663891779,132.79999999999674,295.1999999999986,inf,242424.00000000003,15300.0,3094,655.3000000000804,ALL_DEPLETED
PSO,open_33,2,0,1.0,103.59999999999839,181.79999999999396,278.8999999999949,108245.4071310283,6925.0,1098,278.8999999999949,COMPLETED
PSO,open_33,2,1,1.0,96.2999999999988,178.89999999999412,247.6999999999902,95697.92515105652,4625.0,873,247.6999999999902,COMPLETED
PSO,open_33,2,2,1.0,125.39999999999715,210.39999999999233,271.09999999999314,104578.4213139863,8325.0,1057,271.09999999999314,COMPLETED
GA,open_33,2,0,1.0,76.39999999999993,129.59999999999692,195.49999999999318,78394.76196145557,4600.0,649,195.49999999999318,COMPLETED
GA,open_33,2,1,1.0,81.99999999999962,141.99999999999622,217.49999999999193,86874.29100434194,4950.0,812,217.49999999999193,COMPLETED
GA,open_33,2,2,1.0,90.59999999999913,149.4999999999958,204.29999999999268,81908.51783746749,3600.0,734,204.29999999999268,COMPLETED
ACO,open_33,2,0,1.0,95.09999999999887,160.99999999999514,260.2999999999907,104174.28181797772,7975.0,1284,260.2999999999907,COMPLETED
ACO,open_33,2,1,1.0,80.69999999999969,145.999999999996,243.09999999999047,97681.679529143,4700.0,1173,243.09999999999047,COMPLETED
ACO,open_33,2,2,1.0,84.79999999999946,175.5999999999943,254.9999999999898,102594.07040958366,4100.0,1255,254.9999999999898,COMPLETED
SA,open_33,2,0,1.0,87.4999999999993,149.2999999999958,217.29999999999194,87528.56854658562,4100.0,949,217.29999999999194,COMPLETED
SA,open_33,2,1,1.0,90.09999999999916,161.8999999999951,216.49999999999199,86951.94009943653,4750.0,954,216.49999999999199,COMPLETED
SA,open_33,2,2,1.0,86.79999999999934,150.8999999999957,222.99999999999162,89765.36990621852,1400.0,1016,222.99999999999162,COMPLETED
GWO,open_33,2,0,1.0,168.5999999999947,359.2000000000132,571.6000000000614,221799.56271967394,18950.0,2841,571.6000000000614,COMPLETED
GWO,open_33,2,1,1.0,160.0999999999952,334.6000000000076,562.2000000000593,218450.95253558495,19375.0,2831,562.2000000000593,COMPLETED
GWO,open_33,2,2,1.0,151.59999999999567,326.8000000000058,557.3000000000582,216393.04930094752,18550.0,2734,557.3000000000582,COMPLETED
Random,open_33,5,0,1.0,53.100000000000485,121.79999999999735,611.8000000000706,566094.4949271844,23800.0,8865,611.8000000000706,COMPLETED
Random,open_33,5,1,1.0,74.00000000000007,171.39999999999455,652.1000000000797,600064.7612191676,23825.0,9143,652.1000000000797,COMPLETED
Random,open_33,5,2,0.9947970863683663,65.20000000000057,129.19999999999695,inf,606060.0,23200.0,8706,664.8000000000826,ALL_DEPLETED
