lane_spacing,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,1.0,2.0,open_33,2,0,0.4464099895941727,1675.0,3705,242424.00000000003,643.9000000000779,0.012181907822258836
1.0,1.0,2.0,open_33,2,1,0.37356919875130074,1350.0,3712,242424.00000000003,643.2000000000777,-0.06127726950002013
1.0,1.0,2.0,open_33,5,0,0.5130072840790842,6575.0,9875,606060.0,655.3000000000804,0.0007259088237560329
1.0,1.0,2.0,open_33,5,1,0.481789802289282,6325.0,9874,606060.0,650.7000000000794,-0.02819770362665333
1.0,1.0,2.0,open_33,10,0,0.8168574401664932,14725.0,19910,1212120.0,653.9000000000801,0.19992158826037423
1.0,1.0,2.0,open_33,10,1,0.922996878251821,18800.0,19976,1212120.0,653.10000000008,0.2565516081444109
1.0,1.0,2.0,open_33,20,0,1.0,21700.0,8019,504181.9587765476,132.99999999999673,0.43109606337334205
1.0,1.0,2.0,open_33,20,1,1.0,22500.0,8124,506871.6390364105,133.7999999999967,0.42057515872218526
1.0,1.0,2.0,partial_33,2,0,0.3081761006289308,1775.0,3522,242424.00000000003,678.2000000000857,-0.14354924899505192
1.0,1.0,2.0,partial_33,2,1,0.37484276729559746,1150.0,3610,242424.00000000003,660.5000000000816,-0.06408401623074958
1.0,1.0,2.0,partial_33,5,0,0.5132075471698113,4675.0,9471,606060.0,682.8000000000867,0.010586982997413313
1.0,1.0,2.0,partial_33,5,1,0.5949685534591195,4700.0,9306,606060.0,682.9000000000867,0.09409139895248939
1.0,1.0,2.0,partial_33,10,0,1.0,13050.0,12280,789742.2624598915,430.0000000000293,0.4271487386523709
1.0,1.0,2.0,partial_33,10,1,1.0,14300.0,15147,952825.6409438275,517.8000000000492,0.3855662560515816
1.0,1.0,2.0,partial_33,20,0,1.0,18875.0,12849,817022.7588582514,220.99999999999173,0.3838935626414768
1.0,1.0,2.0,partial_33,20,1,1.0,17725.0,12241,778262.7722229795,210.49999999999233,0.4043767830527875
1.0,1.0,2.0,closed_33,2,0,0.27854671280276816,0.0,1661,242424.00000000003,719.200000000095,-0.13938840123552923
1.0,1.0,2.0,closed_33,2,1,0.2889273356401384,25.0,2147,242424.00000000003,728.100000000097,-0.13438531885715124
