Boustrophedon grid search — top 10 configs

rank   lane  attract  repel    score     cov    overlap   wasted     energy
--------------------------------------------------------------------------------
   1   2.50     1.00   2.00   +0.157   69.5%     8912m²    10379   783.0kJ
   2   1.00     2.50  10.00   +0.152   65.3%     7011m²     9112   758.8kJ
   3   1.00     2.50   2.00   +0.139   63.3%     6449m²     9002   749.4kJ
   4   2.50     1.00   5.00   +0.137   67.1%     8397m²    10692   808.7kJ
   5   1.00     1.00   5.00   +0.136   66.9%     8390m²    11210   830.6kJ
   6   1.60     2.50   5.00   +0.134   63.7%     6891m²     9730   782.8kJ
   7   1.00     1.00  10.00   +0.132   67.0%     8615m²    11539   848.6kJ
   8   2.50     1.00  10.00   +0.130   65.9%     8403m²    10181   766.9kJ
   9   2.50     2.50   2.00   +0.129   62.3%     6182m²     9069   763.0kJ
  10   1.00     2.50   5.00   +0.125   62.7%     6547m²    10107   818.4kJ
