GridDecomposition grid search — top 10 configs

rank  block  attract  repel    score     cov    overlap   wasted     energy
--------------------------------------------------------------------------------
   1      8     1.00   5.00   +0.382   85.2%     7723m²     6018   452.3kJ
   2      8     1.00   2.00   +0.362   84.3%     7362m²     7493   579.1kJ
   3      8     1.00  10.00   +0.347   83.1%     7397m²     7350   574.2kJ
   4      5     1.00  10.00   +0.323   80.0%     7761m²     5951   447.4kJ
   5      3     1.00  10.00   +0.319   80.3%     8256m²     5816   438.1kJ
   6      3     1.00   5.00   +0.303   79.3%     8040m²     6478   491.0kJ
   7      8     2.00  10.00   +0.291   75.3%     6307m²     5886   466.5kJ
   8      5     1.00   5.00   +0.284   76.6%     6882m²     7400   572.6kJ
   9      3     4.00  10.00   +0.281   72.1%     5014m²     4934   542.6kJ
  10      5     1.00   2.00   +0.280   75.1%     7162m²     5952   450.1kJ
