pitch,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.6,1.0,2.0,open_33,2,0,0.14360041623309053,1850.0,3923,242424.00000000003,662.200000000082,-0.31375043136964165
1.6,1.0,2.0,open_33,2,1,0.04058272632674298,0.0,3642,242424.00000000003,681.8000000000865,-0.40068323401012196
1.6,1.0,2.0,open_33,5,0,0.24349635796045785,1525.0,9545,606060.0,681.8000000000865,-0.21281210225223596
1.6,1.0,2.0,open_33,5,1,0.12278876170655567,0.0,9280,606060.0,681.8000000000865,-0.3178889238530196
1.6,1.0,2.0,open_33,10,0,0.5535900104058272,6750.0,19205,1212120.0,681.8000000000865,0.03294470043823414
1.6,1.0,2.0,open_33,10,1,0.4432882414151925,4150.0,19416,1212120.0,681.8000000000865,-0.046536339824817224
1.6,1.0,2.0,open_33,20,0,0.967741935483871,21675.0,40613,2424240.0,670.5000000000839,0.2593578568106547
1.6,1.0,2.0,open_33,20,1,0.9875130072840791,23325.0,40603,2424240.0,668.0000000000833,0.2586611134974215
1.6,1.0,2.0,partial_33,2,0,0.1421383647798742,0.0,4011,242424.00000000003,670.700000000084,-0.2940859050767914
1.6,1.0,2.0,partial_33,2,1,0.13584905660377358,0.0,2621,242424.00000000003,724.8000000000962,-0.2967229070784869
1.6,1.0,2.0,partial_33,5,0,0.41635220125786165,3100.0,9699,606060.0,672.5000000000844,-0.06498439691407956
1.6,1.0,2.0,partial_33,5,1,0.3584905660377358,2375.0,9526,606060.0,677.7000000000855,-0.11308822702964436
1.6,1.0,2.0,partial_33,10,0,0.7069182389937106,5675.0,19230,1212120.0,683.5000000000869,0.18533201056183465
1.6,1.0,2.0,partial_33,10,1,0.539622641509434,3550.0,18831,1212120.0,692.900000000089,0.04827553439526641
1.6,1.0,2.0,partial_33,20,0,0.8276729559748428,11025.0,38370,2424240.0,689.3000000000882,0.22187132433436493
1.6,1.0,2.0,partial_33,20,1,0.7748427672955975,10100.0,37332,2424240.0,692.5000000000889,0.18281531452396851
1.6,1.0,2.0,closed_33,2,0,0.19377162629757785,0.0,2712,242424.00000000003,709.9000000000929,-0.23877480114969946
1.6,1.0,2.0,closed_33,2,1,0.2301038062283737,275.0,2775,242424.00000000003,696.1000000000897,-0.20632921048776606
1.6,1.0,2.0,closed_33,5,0,0.4290657439446367,775.0,6573,606060.0,726.4000000000966,-0.020561174327580672
1.6,1.0,2.0,closed_33,5,1,0.5346020761245674,1000.0,7974,606060.0,709.2000000000927,0.08058798325275665
1.6,1.0,2.0,closed_33,10,0,0.7941176470588235,4975.0,15657,1212120.0,713.1000000000936,0.25493030918001347
1.6,1.0,2.0,closed_33,10,1,0.759515570934256,5225.0,15560,1212120.0,721.1000000000954,0.21482538232457296
1.6,1.0,2.0,closed_33,20,0,0.967128027681661,10700.0,31849,2424240.0,717.7000000000946,0.3057129027524971
1.6,1.0,2.0,closed_33,20,1,0.8944636678200693,10950.0,31995,2424240.0,729.3000000000973,0.22745412949705898
1.6,1.0,5.0,open_33,2,0,0.14360041623309053,2000.0,3902,242424.00000000003,660.3000000000816,-0.3155704888907205
1.6,1.0,5.0,open_33,2,1,0.04058272632674298,0.0,3642,242424.00000000003,681.8000000000865,-0.40068323401012196
1.6,1.0,5.0,open_33,5,0,0.2715920915712799,2650.0,9579,606060.0,681.8000000000865,-0.19798556649718427
1.6,1.0,5.0,open_33,5,1,0.12278876170655567,0.0,9280,606060.0,681.8000000000865,-0.3178889238530196
1.6,1.0,5.0,open_33,10,0,0.5067637877211238,6375.0,19278,1212120.0,681.8000000000865,-0.009893380999433793
1.6,1.0,5.0,open_33,10,1,0.5202913631633714,6300.0,19262,1212120.0,682.5000000000866,0.004769189474529506
1.6,1.0,5.0,open_33,20,0,0.9771071800208116,21775.0,40924,2424240.0,670.6000000000839,0.2674875617032536
1.6,1.0,5.0,open_33,20,1,0.9989594172736732,22825.0,40938,2424240.0,664.6000000000826,0.27637320054830805
1.6,1.0,5.0,partial_33,2,0,0.1421383647798742,0.0,4011,242424.00000000003,670.700000000084,-0.2940859050767914
1.6,1.0,5.0,partial_33,2,1,0.13584905660377358,0.0,2621,242424.00000000003,724.8000000000962,-0.2967229070784869
1.6,1.0,5.0,partial_33,5,0,0.42641509433962266,2500.0,9520,606060.0,675.0000000000849,-0.04544975134724563
1.6,1.0,5.0,partial_33,5,1,0.37358490566037733,2650.0,9642,606060.0,673.5000000000846,-0.10189485420815406
1.6,1.0,5.0,partial_33,10,0,0.6867924528301886,4325.0,18886,1212120.0,694.5000000000894,0.18549438433049978
1.6,1.0,5.0,partial_33,10,1,0.5484276729559748,3700.0,18943,1212120.0,684.7000000000871,0.054883746189195476
1.6,1.0,5.0,partial_33,20,0,0.8566037735849057,12200.0,38212,2424240.0,687.7000000000878,0.233261259011918
1.6,1.0,5.0,partial_33,20,1,0.7861635220125787,10725.0,37396,2424240.0,693.9000000000892,0.18476377034714955
1.6,1.0,5.0,closed_33,2,0,0.19377162629757785,0.0,2712,242424.00000000003,709.9000000000929,-0.23877480114969946
1.6,1.0,5.0,closed_33,2,1,0.23529411764705882,225.0,2711,242424.00000000003,696.2000000000897,-0.199490732469355
1.6,1.0,5.0,closed_33,5,0,0.4273356401384083,1700.0,6582,606060.0,726.4000000000966,-0.041552138529460464
1.6,1.0,5.0,closed_33,5,1,0.5242214532871973,1500.0,7554,606060.0,709.2000000000927,0.06020444159066504
1.6,1.0,5.0,closed_33,10,0,0.7024221453287197,5225.0,16153,1212120.0,726.0000000000965,0.15685570887123432
1.6,1.0,5.0,closed_33,10,1,0.759515570934256,6050.0,15389,1212120.0,707.1000000000922,0.19778628765573622
1.6,1.0,5.0,closed_33,20,0,0.8806228373702422,10025.0,31495,2424240.0,726.0000000000965,0.23281818362670056
1.6,1.0,5.0,closed_33,20,1,0.8581314878892734,10600.0,32477,2424240.0,729.3000000000973,0.19813062247882304
1.6,1.0,10.0,open_33,2,0,0.18106139438085328,2475.0,3967,242424.00000000003,663.0000000000822,-0.2816827062265121
1.6,1.0,10.0,open_33,2,1,0.04058272632674298,0.0,3642,242424.00000000003,681.8000000000865,-0.40068323401012196
