Spiral grid search — top 10 configs

rank  pitch  attract  repel    score     cov    overlap   wasted     energy
--------------------------------------------------------------------------------
   1   4.00     1.00  10.00   +0.065   60.5%     7355m²    15429  1045.0kJ
   2   4.00     2.00   2.00   +0.064   57.4%     6495m²    12203   934.6kJ
   3   4.00     1.00   2.00   +0.049   57.8%     6318m²    15539  1065.4kJ
   4   4.00     1.00   5.00   +0.037   55.9%     6042m²    15161  1037.1kJ
   5   4.00     4.00  10.00   +0.035   54.6%     7155m²     9177   921.6kJ
   6   4.00     2.00  10.00   +0.029   54.0%     6102m²    13354   966.7kJ
   7   4.00     2.00   5.00   +0.029   53.5%     6076m²    12329   930.9kJ
   8   2.50     4.00   5.00   +0.015   52.3%     6296m²    10160   944.1kJ
   9   4.00     4.00   2.00   +0.015   51.3%     6232m²     8595   906.6kJ
  10   4.00     4.00   5.00   +0.011   51.6%     6496m²     8869   918.6kJ
