attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,2.0,1.5,open_33,2,0,0.9105098855359001,1150.0,3396,242424.00000000003,639.1000000000768,0.5131664156236136
1.0,2.0,1.5,open_33,2,1,0.11238293444328824,0.0,3785,242424.00000000003,648.3000000000789,-0.32373887963896764
1.0,2.0,1.5,open_33,5,0,0.8116545265348595,4075.0,9139,606060.0,677.4000000000855,0.33991667458430863
1.0,2.0,1.5,open_33,5,1,0.841831425598335,3775.0,9634,606060.0,645.4000000000782,0.37348903179837334
1.0,2.0,1.5,open_33,10,0,1.0,16350.0,8094,534368.9181717623,281.69999999999555,0.46399740578116644
1.0,2.0,1.5,open_33,10,1,1.0,14950.0,6581,439373.0025177207,229.29999999999126,0.4991867251702663
1.0,2.0,1.5,open_33,20,0,1.0,17950.0,4445,302524.8149743485,78.7999999999998,0.5111626595718317
1.0,2.0,1.5,open_33,20,1,1.0,18375.0,4511,307545.6565081859,79.99999999999973,0.5049132986621653
1.0,2.0,1.5,partial_33,2,0,0.3320754716981132,100.0,3692,242424.00000000003,668.8000000000835,-0.09385818426167933
1.0,2.0,1.5,partial_33,2,1,0.5169811320754717,725.0,3611,242424.00000000003,654.5000000000803,0.09224968126040536
1.0,2.0,1.5,partial_33,5,0,1.0,6575.0,6468,426106.47319058434,454.8000000000349,0.5320369096993707
1.0,2.0,1.5,partial_33,5,1,0.7094339622641509,2900.0,9453,606060.0,673.5000000000846,0.23810721772985913
1.0,2.0,1.5,partial_33,10,0,0.9647798742138365,11200.0,17798,1212120.0,700.7000000000908,0.36367311632707566
1.0,2.0,1.5,partial_33,10,1,1.0,11875.0,3947,284024.7325001203,150.9999999999957,0.5372036365903345
1.0,2.0,1.5,partial_33,20,0,1.0,13925.0,3845,268737.3664068207,71.30000000000022,0.5251998987296588
1.0,2.0,1.5,partial_33,20,1,1.0,18200.0,4790,325670.1290732417,85.39999999999942,0.4485821581522182
1.0,2.0,1.5,closed_33,2,0,0.43771626297577854,0.0,2184,242424.00000000003,706.200000000092,0.024416668757021392
1.0,2.0,1.5,closed_33,2,1,0.4688581314878893,25.0,2311,242424.00000000003,714.5000000000939,0.05538187511149115
1.0,2.0,1.5,closed_33,5,0,0.759515570934256,1225.0,6943,606060.0,714.3000000000939,0.3074792941172304
1.0,2.0,1.5,closed_33,5,1,0.6851211072664359,2650.0,6357,606060.0,708.0000000000924,0.20325154303670576
1.0,2.0,1.5,closed_33,10,0,0.9238754325259516,6575.0,12244,1212120.0,725.4000000000964,0.3554629710366404
1.0,2.0,1.5,closed_33,10,1,0.9653979238754326,7300.0,13848,1212120.0,709.6000000000928,0.3810165442727712
1.0,2.0,1.5,closed_33,20,0,1.0,8825.0,4228,374463.9459571736,104.39999999999834,0.5305500746201451
1.0,2.0,1.5,closed_33,20,1,1.0,10175.0,4611,368170.31058599055,101.49999999999851,0.5002343323060101
