STC grid search — top 10 configs

rank  attract  repel_g  repel_r    score     cov    overlap   wasted     energy
--------------------------------------------------------------------------------
   1     4.00    10.00     4.00   +0.433   84.3%     5445m²     3121   388.5kJ
   2     4.00     2.00     4.00   +0.426   83.6%     5557m²     3126   382.0kJ
   3     4.00    10.00     2.50   +0.423   84.7%     5457m²     3766   485.7kJ
   4     4.00     2.00     1.50   +0.410   83.7%     5328m²     4098   526.9kJ
   5     4.00     5.00     4.00   +0.408   82.1%     5382m²     3125   396.6kJ
   6     4.00     2.00     2.50   +0.406   83.5%     5654m²     3812   500.6kJ
   7     4.00     5.00     2.50   +0.404   82.6%     5347m²     3668   443.0kJ
   8     4.00    10.00     1.50   +0.391   82.3%     5556m²     4021   510.7kJ
   9     4.00     5.00     1.50   +0.388   83.2%     5410m²     4554   643.7kJ
  10     1.00     5.00     4.00   +0.369   83.6%     7527m²     6045   477.1kJ
