attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,2.0,1.5,open_33,2,0,0.9542143600416233,9450.0,3378,242424.00000000003,624.0000000000733,0.4558190567832978
1.0,2.0,1.5,open_33,2,1,0.886576482830385,1000.0,3348,242424.00000000003,626.7000000000739,0.49050218852716254
1.0,2.0,1.5,open_33,5,0,0.9427679500520292,8975.0,9061,606060.0,652.8000000000799,0.41352273695239605
1.0,2.0,1.5,open_33,5,1,1.0,14050.0,3986,284046.5041371118,292.19999999999794,0.5151376785781405
1.0,2.0,1.5,open_33,10,0,1.0,15550.0,3212,233785.275616016,119.59999999999748,0.5470548111756579
1.0,2.0,1.5,open_33,10,1,1.0,15275.0,3002,220924.99648773903,112.49999999999788,0.5556821827663521
1.0,2.0,1.5,open_33,20,0,1.0,18700.0,3232,229889.58688693726,59.20000000000057,0.5215530875270172
1.0,2.0,1.5,open_33,20,1,1.0,17350.0,3352,243136.7898990726,62.70000000000062,0.5357081853286219
1.0,2.0,1.5,partial_33,2,0,0.9937106918238994,3850.0,3270,242424.00000000003,645.4000000000782,0.5495274240687383
1.0,2.0,1.5,partial_33,2,1,0.5735849056603773,1050.0,3552,242424.00000000003,655.9000000000806,0.14742314113910546
1.0,2.0,1.5,partial_33,5,0,1.0,9125.0,4201,301619.652391147,320.40000000000435,0.5381162524565258
1.0,2.0,1.5,partial_33,5,1,0.9610062893081761,5250.0,8693,606060.0,682.1000000000865,0.46155257749464695
1.0,2.0,1.5,partial_33,10,0,1.0,12900.0,5710,392023.6677012255,209.99999999999235,0.49523092295230114
1.0,2.0,1.5,partial_33,10,1,1.0,11025.0,6828,466193.65796989854,251.99999999998997,0.5093170007874233
1.0,2.0,1.5,partial_33,20,0,1.0,13525.0,9898,693062.4758712375,191.99999999999338,0.4768583540197454
1.0,2.0,1.5,partial_33,20,1,1.0,15425.0,3696,264615.56809308706,69.50000000000033,0.5045093303800312
1.0,2.0,1.5,closed_33,2,0,0.4273356401384083,0.0,2485,242424.00000000003,706.7000000000921,0.010014182516804276
1.0,2.0,1.5,closed_33,2,1,0.4117647058823529,275.0,698,242424.00000000003,720.8000000000953,0.037892970159406125
1.0,2.0,1.5,closed_33,5,0,0.9238754325259516,1975.0,7332,606060.0,697.10000000009,0.45879366059700677
1.0,2.0,1.5,closed_33,5,1,0.9117647058823529,2650.0,5983,606060.0,713.9000000000938,0.4365886746855605
1.0,2.0,1.5,closed_33,10,0,1.0,6850.0,8648,810033.6502758837,462.40000000003664,0.4800510712081887
1.0,2.0,1.5,closed_33,10,1,0.972318339100346,7075.0,12523,1212120.0,725.7000000000965,0.393873064311851
1.0,2.0,1.5,closed_33,20,0,1.0,10200.0,8911,798338.9822196676,227.29999999999137,0.4589413395643401
1.0,2.0,1.5,closed_33,20,1,1.0,9175.0,2628,207866.2752263639,55.70000000000052,0.5512162815672124
1.0,2.0,2.5,open_33,2,0,0.9667013527575442,10325.0,3393,242424.00000000003,621.5000000000728,0.4578127436901196
1.0,2.0,2.5,open_33,2,1,0.886576482830385,1000.0,3348,242424.00000000003,626.7000000000739,0.49050218852716254
1.0,2.0,2.5,open_33,5,0,0.9073881373569199,6050.0,9263,606060.0,637.1000000000763,0.41320893113507606
1.0,2.0,2.5,open_33,5,1,0.9479708636836629,7575.0,9373,606060.0,657.3000000000809,0.43551271195987484
1.0,2.0,2.5,open_33,10,0,1.0,14750.0,3244,235090.7468098353,119.89999999999746,0.5563630853867203
1.0,2.0,2.5,open_33,10,1,1.0,14725.0,3503,248774.07095711818,127.29999999999704,0.5510667591567349
1.0,2.0,2.5,open_33,20,0,1.0,18025.0,3089,223718.18219946325,57.300000000000544,0.5327772531281043
1.0,2.0,2.5,open_33,20,1,1.0,16425.0,3049,220520.77488996089,56.700000000000536,0.5536570305098161
1.0,2.0,2.5,partial_33,2,0,1.0,6825.0,3276,241947.37057388294,641.5000000000773,0.511405793837297
1.0,2.0,2.5,partial_33,2,1,0.5660377358490566,800.0,3505,242424.00000000003,656.9000000000808,0.14365182729183398
1.0,2.0,2.5,partial_33,5,0,1.0,9900.0,4962,347084.355399471,371.1000000000159,0.5092720106370134
1.0,2.0,2.5,partial_33,5,1,0.9144654088050315,3825.0,8864,606060.0,689.7000000000883,0.4350251841184968
1.0,2.0,2.5,partial_33,10,0,1.0,10525.0,4205,300861.07232070435,161.39999999999512,0.5529794285008339
1.0,2.0,2.5,partial_33,10,1,1.0,9850.0,12725,841985.7369217125,460.0000000000361,0.46862455327478847
1.0,2.0,2.5,partial_33,20,0,1.0,13575.0,3698,263379.3406378762,69.50000000000033,0.5324838777744307
1.0,2.0,2.5,partial_33,20,1,1.0,12725.0,6779,472602.08854642184,128.99999999999696,0.5112545978856403
1.0,2.0,2.5,closed_33,2,0,0.4273356401384083,0.0,2485,242424.00000000003,706.7000000000921,0.010014182516804276
1.0,2.0,2.5,closed_33,2,1,0.4134948096885813,75.0,1537,242424.00000000003,719.9000000000951,0.007864893440152926
1.0,2.0,2.5,closed_33,5,0,0.7318339100346021,3125.0,6250,606060.0,716.4000000000943,0.24152750676937654
1.0,2.0,2.5,closed_33,5,1,0.9809688581314879,3125.0,6578,606060.0,715.000000000094,0.4954523788960967
1.0,2.0,2.5,closed_33,10,0,1.0,7500.0,3255,281023.34270735295,154.19999999999553,0.556040725354961
1.0,2.0,2.5,closed_33,10,1,0.9757785467128027,6700.0,12385,1212120.0,719.0000000000949,0.4053004023206528
1.0,2.0,2.5,closed_33,20,0,1.0,9575.0,3685,325771.10303927073,89.99999999999916,0.5224761056081141
1.0,2.0,2.5,closed_33,20,1,1.0,10625.0,3967,308727.33846625127,83.69999999999952,0.49916855757543077
1.0,2.0,4.0,open_33,2,0,0.9302809573361083,7450.0,3405,242424.00000000003,624.3000000000734,0.4551950186932937
1.0,2.0,4.0,open_33,2,1,0.886576482830385,1000.0,3348,242424.00000000003,626.7000000000739,0.49050218852716254
1.0,2.0,4.0,open_33,5,0,0.9562955254942768,5375.0,9205,606060.0,640.9000000000772,0.4719658144431639
1.0,2.0,4.0,open_33,5,1,1.0,13750.0,3949,276410.070778484,282.8999999999958,0.5211429550197351
1.0,2.0,4.0,open_33,10,0,1.0,13725.0,3561,255221.6794012515,131.7999999999968,0.5619570534392027
1.0,2.0,4.0,open_33,10,1,1.0,13450.0,2520,193469.74200976896,98.99999999999865,0.5918158090996355
1.0,2.0,4.0,open_33,20,0,1.0,16950.0,2543,190680.2056131768,49.10000000000043,0.5592614971129224
1.0,2.0,4.0,open_33,20,1,1.0,16975.0,2866,214099.10430499678,55.300000000000516,0.5506097067247984
1.0,2.0,4.0,partial_33,2,0,0.9421383647798742,2275.0,3297,242424.00000000003,649.4000000000791,0.518890629873851
1.0,2.0,4.0,partial_33,2,1,0.5987421383647799,750.0,3481,242424.00000000003,654.6000000000803,0.1790648846165461
1.0,2.0,4.0,partial_33,5,0,1.0,11925.0,4914,350112.18319328025,375.1000000000168,0.4783326558276601
1.0,2.0,4.0,partial_33,5,1,1.0,6500.0,4319,326925.13209758024,351.10000000001133,0.5706062416659489
1.0,2.0,4.0,partial_33,10,0,0.9433962264150944,8700.0,18181,1212120.0,687.5000000000878,0.3795162948042471
1.0,2.0,4.0,partial_33,10,1,1.0,9775.0,5075,351809.6799749639,188.0999999999936,0.5511591250806948
1.0,2.0,4.0,partial_33,20,0,1.0,13575.0,3656,263542.61443400104,70.10000000000029,0.5329750408665439
1.0,2.0,4.0,partial_33,20,1,1.0,13950.0,4073,285101.2226707232,75.69999999999997,0.5214400905512268
