VoronoiPartition grid search — top 10 configs

rank  attract  repel_g  repel_r    score     cov    overlap   wasted     energy
--------------------------------------------------------------------------------
   1     1.00     2.00     4.00   +0.449   91.2%     8235m²     4893   376.0kJ
   2     1.00     5.00     4.00   +0.447   90.2%     8269m²     4246   336.8kJ
   3     1.00    10.00     2.50   +0.446   91.7%     8435m²     5197   401.7kJ
   4     1.00     5.00     1.50   +0.445   92.7%     8830m²     5690   436.6kJ
   5     1.00     2.00     1.50   +0.439   91.5%     8779m²     5318   426.5kJ
   6     1.00     5.00     2.50   +0.434   91.7%     8761m²     5743   455.3kJ
   7     1.00    10.00     1.50   +0.434   92.3%     8559m²     5933   468.2kJ
   8     1.00     2.00     2.50   +0.433   90.5%     8234m²     5267   406.9kJ
   9     1.00    10.00     4.00   +0.431   91.2%     8648m²     6816   556.3kJ
  10     2.00     5.00     4.00   +0.350   80.0%     5912m²     5866   523.6kJ
