policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
Random,open_33,2,0,0.9375650364203955,160.49999999999517,376.9000000000172,inf,242424.00000000003,14075.0,2320,665.3000000000827,ALL_DEPLETED
Random,open_33,2,1,0.9500520291363164,190.99999999999343,440.40000000003164,inf,242424.00000000003,13325.0,2353,661.6000000000819,ALL_DEPLETED
Random,open_33,2,2,0.9573361082206036,162.49999999999505,345.00000000000995,inf,242424.00000000003,14775.0,2421,655.3000000000804,ALL_DEPLETED
Boustrophedon,open_33,2,0,0.35796045785639957,inf,inf,inf,242424.00000000003,1525.0,3833,645.6000000000782,ALL_DEPLETED
Boustrophedon,open_33,2,1,0.28407908428720086,inf,inf,inf,242424.00000000003,1350.0,3914,652.5000000000798,ALL_DEPLETED
Boustrophedon,open_33,2,2,0.32570239334027057,inf,inf,inf,242424.00000000003,1400.0,3817,635.3000000000759,ALL_DEPLETED
Spiral,open_33,2,0,0.20291363163371487,inf,inf,inf,242424.00000000003,2075.0,3866,649.9000000000792,ALL_DEPLETED
Spiral,open_33,2,1,0.06659729448491156,inf,inf,inf,242424.00000000003,0.0,3831,674.9000000000849,ALL_DEPLETED
Spiral,open_33,2,2,0.046826222684703434,inf,inf,inf,242424.00000000003,25.0,3640,674.9000000000849,ALL_DEPLETED
VoronoiPartition,open_33,2,0,0.9302809573361083,111.49999999999794,287.89999999999696,inf,242424.00000000003,7450.0,3405,624.3000000000734,ALL_DEPLETED
VoronoiPartition,open_33,2,1,0.886576482830385,103.2999999999984,277.9999999999947,inf,242424.00000000003,1000.0,3348,626.7000000000739,ALL_DEPLETED
VoronoiPartition,open_33,2,2,0.894901144640999,103.3999999999984,262.69999999999123,inf,242424.00000000003,1825.0,3247,636.7000000000762,ALL_DEPLETED
GridDecomposition,open_33,2,0,0.6430801248699272,166.59999999999482,inf,inf,242424.00000000003,1475.0,3529,632.4000000000752,ALL_DEPLETED
GridDecomposition,open_33,2,1,0.20499479708636836,inf,inf,inf,242424.00000000003,0.0,3710,647.8000000000787,ALL_DEPLETED
GridDecomposition,open_33,2,2,0.3558792924037461,inf,inf,inf,242424.00000000003,750.0,3675,645.2000000000781,ALL_DEPLETED
STC,open_33,2,0,0.886576482830385,275.89999999999424,476.50000000003985,inf,242424.00000000003,1975.0,4397,606.1000000000693,ALL_DEPLETED
STC,open_33,2,1,0.8969823100936525,249.7999999999901,546.2000000000556,inf,242424.00000000003,350.0,3861,597.4000000000673,ALL_DEPLETED
STC,open_33,2,2,1.0,267.4999999999923,458.40000000003573,549.1000000000563,223233.51401006582,1025.0,3615,549.1000000000563,COMPLETED
Random,open_33,5,0,1.0,57.80000000000055,134.69999999999663,565.30000000006,522402.9740631012,23400.0,6288,565.30000000006,COMPLETED
Random,open_33,5,1,0.9989594172736732,84.29999999999949,174.1999999999944,inf,606060.0,23775.0,7317,664.1000000000824,ALL_DEPLETED
Random,open_33,5,2,0.9937565036420395,68.2000000000004,149.3999999999958,inf,606060.0,23125.0,6995,664.8000000000826,ALL_DEPLETED
Boustrophedon,open_33,5,0,0.4339229968782518,inf,inf,inf,606060.0,4650.0,10039,654.1000000000802,ALL_DEPLETED
Boustrophedon,open_33,5,1,0.49427679500520294,inf,inf,inf,606060.0,5975.0,9982,649.7000000000792,ALL_DEPLETED
Boustrophedon,open_33,5,2,0.4588969823100936,inf,inf,inf,606060.0,5200.0,9922,652.1000000000797,ALL_DEPLETED
Spiral,open_33,5,0,0.4557752341311134,inf,inf,inf,606060.0,6350.0,9547,672.3000000000843,ALL_DEPLETED
