trial,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_range,ent_coef,overlap_penalty_per_m2,wasted_visit_penalty,energy_penalty_per_kj,eval_mean_score,eval_mean_coverage,eval_mean_overlap_m2,eval_mean_wasted,eval_mean_energy_kj,train_seconds
0,0.00035311169138214097,512,128,4,0.9093235574408773,0.9865871292291458,0.32834191059710593,0.0015293952761249948,0.039303215263847696,0.006405681633777294,0.45038593789556713,0.20180869073619934,0.5258777633289987,3160.0,1726.2,133.2235817019842,11.187884092330933
1,5.515641726960958e-05,1024,128,14,0.9814533997138122,0.9120779878358264,0.16817161653543308,0.03171837329014024,0.027729239350791742,0.0031908628052087665,0.8276311719925821,0.2522638414290978,0.5794538361508452,3465.0,1833.4,133.3171294538193,13.594013929367065
2,0.0001833702167104593,1024,64,4,0.9884189910108976,0.9589736895903267,0.1583916123555903,0.011118752706560785,0.02333605018635171,0.002190188289361439,0.15428949206754783,0.23049345588679584,0.5466840052015605,2665.0,1794.0,132.59271709039444,11.815587043762207
3,0.00023232604885522546,1024,64,20,0.932256710455677,0.9018643588448816,0.24086674338274242,0.010235067688329762,0.009473567954214286,0.006496075266773583,0.47570492622593374,0.26747725320039223,0.575032509752926,2385.0,1717.4,133.70428819734713,19.55164909362793
4,2.843273897868822e-05,1024,64,5,0.9693262450982226,0.8937313297934857,0.3496779404185604,0.0064240347292139465,0.040238217874840096,0.019373918951508723,0.2883281039302441,0.12820794754274556,0.44187256176853057,1955.0,1768.2,131.78306626483982,12.29082179069519
5,0.00023173466689007473,1024,128,6,0.9007288647053495,0.9601694128502993,0.29945525697760966,0.00023833496553501756,0.035258268931316755,0.039036451551098396,0.45891577553833995,0.22906850054378475,0.5381014304291287,2215.0,1742.6,132.91879316564717,11.516048908233643
6,0.0001372405316892762,256,32,10,0.9466385244081701,0.9291330549073664,0.32949965722480773,0.0002384009077088099,0.03173591600002954,0.02767897003289979,0.5592071607454135,0.0841970526125453,0.3895968790637191,1470.0,1555.0,130.64819141315056,18.213914155960083
7,4.054153574900173e-05,1024,64,10,0.9212438826091334,0.9071940101214491,0.3560209219804499,0.00012110899802924881,0.011696974293267038,0.002915137084453301,0.28138389202199654,0.2669977181369602,0.5752925877763329,2330.0,1776.4,132.930970843653,16.240589141845703
8,3.865338349256125e-05,256,64,12,0.9657670404924114,0.9068941606016099,0.34420611539981044,0.006116356890267726,0.008348645995385196,0.001135603656693024,0.09004786077564175,0.01657816972694042,0.32457737321196356,1140.0,1575.6,129.78137993972103,14.532100915908813
9,0.0002784317142027637,1024,128,5,0.949603432735233,0.8713236943798436,0.30889611252332083,0.0017643826972393274,0.022307813778701537,0.019051061304824125,0.3015120891478765,0.22524037745139114,0.5198959687906373,1355.0,1663.4,132.5575790140104,11.456480979919434
10,0.00018220705396336778,1024,32,9,0.9952278687904019,0.977201296699065,0.3099121401432249,0.0009473738285831642,0.01329349807297598,0.0484588188673862,0.7787509039657946,0.18389188346913882,0.48998699609882956,1945.0,1652.6,132.27032383577088,17.97760009765625
11,0.00027150659192692205,256,128,7,0.9095427052531965,0.9763643355161378,0.23673288695008335,0.0016323497437457214,0.010118168239761516,0.015297831207532626,0.579219568941896,0.26117053013660313,0.5732119635890768,2755.0,1663.0,133.40228801501817,11.240499019622803
12,2.2570727936004276e-05,256,128,11,0.9427772109377353,0.9378232376983421,0.2752293906738207,0.020510500492485696,0.032492330077741,0.004222216056994454,0.41580740217060963,0.013318607795276192,0.317815344603381,775.0,1659.4,129.85735431786117,12.118225336074829
13,1.2112348213889784e-05,1024,32,8,0.9143078946977387,0.8644764154811572,0.27629337165331364,0.002154102692448404,0.008529648426844305,0.04625600591883986,0.581061139700395,0.11766894661702418,0.423927178153446,1435.0,1731.6,131.22204077212757,17.674318075180054
14,4.9401440083527586e-05,256,32,5,0.9477480402573472,0.9595829318150401,0.12481899997673158,0.00393426117073119,0.024332916541908018,0.024535349717726047,0.9378264549749828,0.25095728714349874,0.564629388816645,2645.0,1765.8,132.61794217775756,13.653995990753174
15,0.00013914131540709968,1024,128,7,0.9328253307369127,0.9228941363460152,0.23167343809151403,0.0018964163494767667,0.0010806039940165213,0.04131459620971789,0.8961607718397667,0.2923617777912552,0.6158647594278284,3560.0,1747.2,134.13471901227928,11.86898398399353
16,1.907647720787443e-05,256,32,14,0.9278421446000619,0.9423191688568663,0.3180983842860648,0.003128433535742446,0.038432374595882855,0.005387047297794829,0.9160118451376079,-0.05290982621867496,0.2507152145643693,440.0,1469.4,129.22852970784513,21.154236316680908
17,2.886875014618287e-05,1024,32,12,0.9367213061023815,0.9661705640385378,0.3424754416192906,0.00012617559660184577,0.015856944641135767,0.047644969753487254,0.2909178381401186,0.2389079976439808,0.5674902470741222,3500.0,1826.0,133.60641191590838,20.548797130584717
18,0.00010718012481609675,1024,128,6,0.9044461513198406,0.9109135884004252,0.39771266921675114,0.0004907294270067217,0.0445838633127457,0.037430400972847465,0.8907924908785249,0.19826548674660466,0.5152145643693109,2525.0,1805.8,131.9986217969691,11.49692988395691
19,0.0006121999353459147,256,64,8,0.9764292307789878,0.9426325768434866,0.21209731866211304,0.0025141034915172893,0.0047233334030757634,0.0373394805674513,0.2624605159228647,0.13049715169521214,0.42496749024707425,900.0,1602.8,129.91755671456536,12.8204185962677
