Top 10 MARL configs after 20 trials (30,000 steps each, n_drones=5)

rank    score    cov   overlap   wasted    energy          lr       ent    ovP    wsP    enP
--------------------------------------------------------------------------------------------------------------
   1   +0.292   62%     3560m²     1747  134.1kJ     1.4e-04   1.9e-03  0.001  0.041   0.90
   2   +0.267   58%     2385m²     1717  133.7kJ     2.3e-04   1.0e-02  0.009  0.006   0.48
   3   +0.267   58%     2330m²     1776  132.9kJ     4.1e-05   1.2e-04  0.012  0.003   0.28
   4   +0.261   57%     2755m²     1663  133.4kJ     2.7e-04   1.6e-03  0.010  0.015   0.58
   5   +0.252   58%     3465m²     1833  133.3kJ     5.5e-05   3.2e-02  0.028  0.003   0.83
   6   +0.251   56%     2645m²     1766  132.6kJ     4.9e-05   3.9e-03  0.024  0.025   0.94
   7   +0.239   57%     3500m²     1826  133.6kJ     2.9e-05   1.3e-04  0.016  0.048   0.29
   8   +0.230   55%     2665m²     1794  132.6kJ     1.8e-04   1.1e-02  0.023  0.002   0.15
   9   +0.229   54%     2215m²     1743  132.9kJ     2.3e-04   2.4e-04  0.035  0.039   0.46
  10   +0.225   52%     1355m²     1663  132.6kJ     2.8e-04   1.8e-03  0.022  0.019   0.30
