policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
Random,open_33,2,0,0.9375650364203955,160.49999999999517,376.9000000000172,inf,242424.00000000003,14075.0,2320,665.3000000000827,ALL_DEPLETED
Random,open_33,2,1,0.9500520291363164,190.99999999999343,440.40000000003164,inf,242424.00000000003,13325.0,2353,661.6000000000819,ALL_DEPLETED
Random,open_33,2,2,0.9573361082206036,162.49999999999505,345.00000000000995,inf,242424.00000000003,14775.0,2421,655.3000000000804,ALL_DEPLETED
PF,open_33,2,0,0.16441207075962538,inf,inf,inf,242424.00000000003,400.0,4852,609.60000000007,ALL_DEPLETED
PF,open_33,2,1,0.08012486992715921,inf,inf,inf,242424.00000000003,0.0,5040,605.100000000069,ALL_DEPLETED
PF,open_33,2,2,0.10926118626430802,inf,inf,inf,242424.00000000003,200.0,5250,624.7000000000735,ALL_DEPLETED
Consensus,open_33,2,0,0.16441207075962538,inf,inf,inf,242424.00000000003,400.0,4852,609.60000000007,ALL_DEPLETED
Consensus,open_33,2,1,0.08012486992715921,inf,inf,inf,242424.00000000003,0.0,5040,605.100000000069,ALL_DEPLETED
Consensus,open_33,2,2,0.10926118626430802,inf,inf,inf,242424.00000000003,200.0,5250,624.7000000000735,ALL_DEPLETED
MARL,open_33,2,0,0.9334027055150884,100.99999999999854,242.5999999999905,inf,242424.00000000003,8525.0,2531,650.1000000000793,ALL_DEPLETED
MARL,open_33,2,1,0.9458896982310093,100.09999999999859,275.2999999999941,inf,242424.00000000003,3300.0,2580,640.5000000000771,ALL_DEPLETED
MARL,open_33,2,2,0.9219562955254943,90.09999999999916,215.39999999999205,inf,242424.00000000003,5075.0,2503,646.8000000000785,ALL_DEPLETED
Random,open_33,5,0,1.0,57.80000000000055,134.69999999999663,565.30000000006,522402.9740631012,23400.0,6288,565.30000000006,COMPLETED
Random,open_33,5,1,0.9989594172736732,84.29999999999949,174.1999999999944,inf,606060.0,23775.0,7317,664.1000000000824,ALL_DEPLETED
Random,open_33,5,2,0.9937565036420395,68.2000000000004,149.3999999999958,inf,606060.0,23125.0,6995,664.8000000000826,ALL_DEPLETED
PF,open_33,5,0,0.9063475546305931,52.00000000000047,144.79999999999606,inf,606060.0,6425.0,12386,622.600000000073,ALL_DEPLETED
PF,open_33,5,1,0.4308012486992716,inf,inf,inf,606060.0,1050.0,12508,624.7000000000735,ALL_DEPLETED
PF,open_33,5,2,0.3850156087408949,inf,inf,inf,606060.0,1050.0,12747,620.8000000000726,ALL_DEPLETED
Consensus,open_33,5,0,0.6139438085327783,69.10000000000035,inf,inf,606060.0,3350.0,12510,622.500000000073,ALL_DEPLETED
Consensus,open_33,5,1,0.4308012486992716,inf,inf,inf,606060.0,1075.0,12620,623.7000000000733,ALL_DEPLETED
Consensus,open_33,5,2,0.7096774193548387,83.79999999999951,inf,inf,606060.0,3500.0,12418,623.3000000000732,ALL_DEPLETED
MARL,open_33,5,0,0.9833506763787722,43.40000000000035,114.69999999999776,inf,606060.0,19175.0,6435,681.3000000000864,ALL_DEPLETED
MARL,open_33,5,1,0.991675338189386,46.700000000000394,125.19999999999716,inf,606060.0,21075.0,6550,686.4000000000875,ALL_DEPLETED
MARL,open_33,5,2,0.9947970863683663,42.10000000000033,89.89999999999917,inf,606060.0,20300.0,6744,669.2000000000836,ALL_DEPLETED
Random,open_33,10,0,1.0,32.50000000000019,80.29999999999971,379.5000000000178,698450.4377228512,23775.0,8487,379.5000000000178,COMPLETED
