policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
Random,open_33,2,0,0.9552549427679501,148.29999999999586,348.2000000000107,inf,242424.00000000003,15100.0,3096,665.3000000000827,ALL_DEPLETED
PF,open_33,2,0,1.0,108.39999999999812,181.299999999994,293.19999999999817,117631.85053391007,7075.0,1552,293.19999999999817,COMPLETED
Consensus,open_33,2,0,1.0,80.89999999999968,161.6999999999951,224.09999999999155,88981.25481953286,4150.0,864,224.09999999999155,COMPLETED
PSO,open_33,2,0,1.0,98.49999999999868,171.79999999999453,259.7999999999906,100334.68211421632,5875.0,960,259.7999999999906,COMPLETED
GA,open_33,2,0,1.0,76.39999999999993,129.59999999999692,195.49999999999318,78394.76196145557,4600.0,649,195.49999999999318,COMPLETED
ACO,open_33,2,0,1.0,95.09999999999887,160.99999999999514,260.2999999999907,104174.28181797772,7975.0,1284,260.2999999999907,COMPLETED
SA,open_33,2,0,1.0,87.4999999999993,149.2999999999958,217.29999999999194,87528.56854658562,4100.0,949,217.29999999999194,COMPLETED
GWO,open_33,2,0,1.0,168.5999999999947,359.2000000000132,571.6000000000614,221799.56271967394,18950.0,2841,571.6000000000614,COMPLETED
MARL,open_33,2,0,0.9542143600416233,98.49999999999868,202.59999999999278,inf,242424.00000000003,8625.0,2964,651.8000000000796,ALL_DEPLETED
Random,open_33,2,1,0.951092611862643,174.49999999999437,434.9000000000304,inf,242424.00000000003,13925.0,3086,661.6000000000819,ALL_DEPLETED
PF,open_33,2,1,1.0,121.89999999999735,231.39999999999114,319.8000000000042,127899.72483857832,9050.0,1714,319.8000000000042,COMPLETED
Consensus,open_33,2,1,1.0,83.39999999999954,137.1999999999965,219.6999999999918,87741.02220705769,5000.0,841,219.6999999999918,COMPLETED
PSO,open_33,2,1,1.0,99.8999999999986,179.0999999999941,258.79999999999035,100142.17949918419,5025.0,978,258.79999999999035,COMPLETED
GA,open_33,2,1,1.0,81.99999999999962,141.99999999999622,217.49999999999193,86874.29100434194,4950.0,812,217.49999999999193,COMPLETED
ACO,open_33,2,1,1.0,80.69999999999969,145.999999999996,243.09999999999047,97681.679529143,4700.0,1173,243.09999999999047,COMPLETED
SA,open_33,2,1,1.0,90.09999999999916,161.8999999999951,216.49999999999199,86951.94009943653,4750.0,954,216.49999999999199,COMPLETED
GWO,open_33,2,1,1.0,160.0999999999952,334.6000000000076,562.2000000000593,218450.95253558495,19375.0,2831,562.2000000000593,COMPLETED
MARL,open_33,2,1,0.9531737773152965,80.4999999999997,203.39999999999273,inf,242424.00000000003,6000.0,3027,640.000000000077,ALL_DEPLETED
Random,open_33,2,2,0.9719042663891779,132.79999999999674,295.1999999999986,inf,242424.00000000003,15300.0,3094,655.3000000000804,ALL_DEPLETED
PF,open_33,2,2,1.0,139.09999999999638,216.399999999992,311.10000000000224,124456.8590867754,5975.0,1665,311.10000000000224,COMPLETED
Consensus,open_33,2,2,1.0,70.0000000000003,137.99999999999645,209.79999999999237,83666.72906657436,4500.0,732,209.79999999999237,COMPLETED
PSO,open_33,2,2,1.0,95.19999999999887,162.49999999999505,281.7999999999956,109606.14185088326,8300.0,1136,281.7999999999956,COMPLETED
GA,open_33,2,2,1.0,90.59999999999913,149.4999999999958,204.29999999999268,81908.51783746749,3600.0,734,204.29999999999268,COMPLETED
ACO,open_33,2,2,1.0,84.79999999999946,175.5999999999943,254.9999999999898,102594.07040958366,4100.0,1255,254.9999999999898,COMPLETED
SA,open_33,2,2,1.0,86.79999999999934,150.8999999999957,222.99999999999162,89765.36990621852,1400.0,1016,222.99999999999162,COMPLETED
GWO,open_33,2,2,1.0,151.59999999999567,326.8000000000058,557.3000000000582,216393.04930094752,18550.0,2734,557.3000000000582,COMPLETED
MARL,open_33,2,2,0.9531737773152965,80.69999999999969,178.99999999999412,inf,242424.00000000003,8975.0,2962,651.9000000000797,ALL_DEPLETED
Random,open_33,5,0,1.0,53.100000000000485,121.79999999999735,611.8000000000706,566094.4949271844,23800.0,8865,611.8000000000706,COMPLETED
PF,open_33,5,0,1.0,38.10000000000027,87.5999999999993,128.299999999997,128498.6202462347,12175.0,1682,128.299999999997,COMPLETED
Consensus,open_33,5,0,1.0,38.10000000000027,63.20000000000063,105.49999999999828,104755.74739454896,8300.0,1131,105.49999999999828,COMPLETED
PSO,open_33,5,0,1.0,38.70000000000028,68.90000000000036,100.19999999999858,96451.53787186148,6325.0,893,100.19999999999858,COMPLETED
GA,open_33,5,0,1.0,35.10000000000023,65.40000000000056,89.89999999999917,89800.85068502533,6875.0,894,89.89999999999917,COMPLETED
ACO,open_33,5,0,1.0,35.10000000000023,61.500000000000604,103.4999999999984,104002.05095574993,10450.0,1259,103.4999999999984,COMPLETED
SA,open_33,5,0,1.0,30.800000000000168,69.60000000000032,95.59999999999884,96036.63639002701,8750.0,1090,95.59999999999884,COMPLETED
GWO,open_33,5,0,1.0,95.39999999999885,197.89999999999304,351.8000000000115,347343.5522384322,22200.0,5179,351.8000000000115,COMPLETED
MARL,open_33,5,0,0.9906347554630593,32.20000000000019,79.29999999999977,inf,606060.0,20175.0,7966,675.8000000000851,ALL_DEPLETED
Random,open_33,5,1,1.0,74.00000000000007,171.39999999999455,652.1000000000797,600064.7612191676,23825.0,9143,652.1000000000797,COMPLETED
PF,open_33,5,1,1.0,40.1000000000003,75.10000000000001,120.8999999999974,121868.29203691357,10100.0,1591,120.8999999999974,COMPLETED
Consensus,open_33,5,1,1.0,32.30000000000019,55.900000000000524,94.89999999999888,93769.86006577441,5900.0,917,94.89999999999888,COMPLETED
PSO,open_33,5,1,1.0,42.70000000000034,73.70000000000009,112.1999999999979,108075.012813095,8800.0,1157,112.1999999999979,COMPLETED
GA,open_33,5,1,1.0,33.400000000000205,60.900000000000595,100.69999999999855,100557.00170982652,7875.0,1047,100.69999999999855,COMPLETED
ACO,open_33,5,1,1.0,34.900000000000226,66.60000000000049,111.29999999999795,111888.07673563657,9600.0,1423,111.29999999999795,COMPLETED
SA,open_33,5,1,1.0,36.200000000000244,78.89999999999979,114.59999999999776,115055.20763717615,13200.0,1411,114.59999999999776,COMPLETED
GWO,open_33,5,1,1.0,105.1999999999983,214.3999999999921,344.60000000000986,340427.05965485104,22175.0,5004,344.60000000000986,COMPLETED
MARL,open_33,5,1,0.9979188345473465,43.900000000000354,103.79999999999838,inf,606060.0,20625.0,8031,686.7000000000876,ALL_DEPLETED
Random,open_33,5,2,0.9947970863683663,65.20000000000057,129.19999999999695,inf,606060.0,23200.0,8706,664.8000000000826,ALL_DEPLETED
PF,open_33,5,2,1.0,41.100000000000314,79.19999999999978,124.3999999999972,124518.09291715815,9300.0,1652,124.3999999999972,COMPLETED
Consensus,open_33,5,2,1.0,32.9000000000002,59.400000000000574,95.39999999999885,94602.08720897883,7525.0,936,95.39999999999885,COMPLETED
PSO,open_33,5,2,1.0,38.300000000000274,71.50000000000021,134.89999999999662,132212.89026383182,10375.0,1602,134.89999999999662,COMPLETED
GA,open_33,5,2,1.0,36.10000000000024,57.70000000000055,107.59999999999816,107511.35743212246,10700.0,1156,107.59999999999816,COMPLETED
ACO,open_33,5,2,1.0,32.800000000000196,69.00000000000036,116.69999999999764,117241.38092106837,9425.0,1501,116.69999999999764,COMPLETED
