policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
Random,open_33,2,0,0.95525494276795,148.29999999999586,348.2000000000107,inf,242424.00000000003,15100.0,3096,665.3000000000827,ALL_DEPLETED
PF,open_33,2,0,1.0,108.39999999999812,181.299999999994,293.19999999999817,117631.85053391008,7075.0,1552,293.19999999999817,COMPLETED
Consensus,open_33,2,0,1.0,80.89999999999968,161.6999999999951,224.09999999999155,88981.25481953286,4150.0,864,224.09999999999155,COMPLETED
MARL,open_33,2,0,0.9542143600416232,98.49999999999868,202.5999999999928,inf,242424.00000000003,8625.0,2964,651.8000000000796,ALL_DEPLETED
Random,open_33,2,1,0.951092611862643,174.49999999999437,434.9000000000304,inf,242424.00000000003,13925.0,3086,661.6000000000819,ALL_DEPLETED
PF,open_33,2,1,1.0,121.89999999999736,231.3999999999911,319.8000000000042,127899.72483857832,9050.0,1714,319.8000000000042,COMPLETED
Consensus,open_33,2,1,1.0,83.39999999999954,137.1999999999965,219.6999999999918,87741.02220705769,5000.0,841,219.6999999999918,COMPLETED
MARL,open_33,2,1,0.9531737773152964,80.4999999999997,203.39999999999273,inf,242424.00000000003,6000.0,3027,640.000000000077,ALL_DEPLETED
Random,open_33,2,2,0.971904266389178,132.79999999999674,295.1999999999986,inf,242424.00000000003,15300.0,3094,655.3000000000804,ALL_DEPLETED
PF,open_33,2,2,1.0,139.09999999999638,216.399999999992,311.10000000000224,124456.8590867754,5975.0,1665,311.10000000000224,COMPLETED
Consensus,open_33,2,2,1.0,70.0000000000003,137.99999999999645,209.79999999999237,83666.72906657436,4500.0,732,209.79999999999237,COMPLETED
MARL,open_33,2,2,0.9531737773152964,80.69999999999969,178.99999999999412,inf,242424.00000000003,8975.0,2962,651.9000000000797,ALL_DEPLETED
Random,open_33,5,0,1.0,53.100000000000485,121.79999999999735,611.8000000000706,566094.4949271844,23800.0,8865,611.8000000000706,COMPLETED
PF,open_33,5,0,1.0,38.10000000000027,87.5999999999993,128.299999999997,128498.6202462347,12175.0,1682,128.299999999997,COMPLETED
Consensus,open_33,5,0,1.0,38.10000000000027,63.20000000000063,105.49999999999828,104755.74739454896,8300.0,1131,105.49999999999828,COMPLETED
MARL,open_33,5,0,0.9906347554630592,32.20000000000019,79.29999999999977,inf,606060.0,20175.0,7966,675.8000000000851,ALL_DEPLETED
Random,open_33,5,1,1.0,74.00000000000007,171.39999999999455,652.1000000000797,600064.7612191676,23825.0,9143,652.1000000000797,COMPLETED
PF,open_33,5,1,1.0,40.1000000000003,75.10000000000001,120.8999999999974,121868.29203691355,10100.0,1591,120.8999999999974,COMPLETED
Consensus,open_33,5,1,1.0,32.30000000000019,55.90000000000053,94.89999999999888,93769.8600657744,5900.0,917,94.89999999999888,COMPLETED
MARL,open_33,5,1,0.9979188345473464,43.900000000000354,103.79999999999838,inf,606060.0,20625.0,8031,686.7000000000876,ALL_DEPLETED
Random,open_33,5,2,0.9947970863683664,65.20000000000057,129.19999999999695,inf,606060.0,23200.0,8706,664.8000000000826,ALL_DEPLETED
PF,open_33,5,2,1.0,41.100000000000314,79.19999999999978,124.3999999999972,124518.09291715817,9300.0,1652,124.3999999999972,COMPLETED
Consensus,open_33,5,2,1.0,32.9000000000002,59.400000000000574,95.39999999999884,94602.08720897885,7525.0,936,95.39999999999884,COMPLETED
MARL,open_33,5,2,0.9895941727367326,41.900000000000325,102.09999999999847,inf,606060.0,21075.0,7941,677.1000000000854,ALL_DEPLETED
Random,open_33,10,0,1.0,30.600000000000165,74.10000000000007,480.9000000000409,884624.905445414,23975.0,13630,480.9000000000409,COMPLETED
PF,open_33,10,0,1.0,17.299999999999976,38.70000000000028,60.60000000000059,121177.54865891275,12050.0,1535,60.60000000000059,COMPLETED
Consensus,open_33,10,0,1.0,17.099999999999973,31.900000000000183,54.0000000000005,104907.5122495338,9150.0,1035,54.0000000000005,COMPLETED
MARL,open_33,10,0,0.9937565036420396,25.30000000000009,99.39999999999864,inf,1212120.0,22700.0,15688,706.6000000000921,ALL_DEPLETED
Random,open_33,10,1,1.0,30.700000000000166,66.5000000000005,317.0000000000036,583225.4969005547,23425.0,9060,317.0000000000036,COMPLETED
PF,open_33,10,1,1.0,18.39999999999999,34.900000000000226,62.50000000000062,125378.5106501095,11750.0,1630,62.50000000000062,COMPLETED
Consensus,open_33,10,1,1.0,14.099999999999966,27.000000000000114,52.70000000000048,104463.5077143258,11825.0,1127,52.70000000000048,COMPLETED
MARL,open_33,10,1,0.9947970863683664,23.600000000000065,60.100000000000584,inf,1212120.0,22200.0,15808,695.9000000000897,ALL_DEPLETED
Random,open_33,10,2,1.0,29.60000000000015,70.50000000000027,285.4999999999964,525061.4034215894,23500.0,7905,285.4999999999964,COMPLETED
PF,open_33,10,2,1.0,19.1,37.90000000000027,63.50000000000063,126939.70875054062,14025.0,1586,63.50000000000063,COMPLETED
Consensus,open_33,10,2,1.0,16.19999999999996,33.2000000000002,47.70000000000041,93827.29318356352,8400.0,931,47.70000000000041,COMPLETED
MARL,open_33,10,2,0.9979188345473464,19.1,48.70000000000042,inf,1212120.0,22275.0,15306,703.0000000000913,ALL_DEPLETED
Random,open_33,20,0,1.0,16.09999999999996,34.70000000000022,150.79999999999572,555030.0233321814,23750.0,8019,150.79999999999572,COMPLETED
PF,open_33,20,0,1.0,6.8999999999999915,17.099999999999973,34.800000000000225,139045.0537228575,16175.0,1835,34.800000000000225,COMPLETED
Consensus,open_33,20,0,1.0,6.699999999999992,14.199999999999966,27.60000000000012,107882.70368849346,13275.0,1184,27.60000000000012,COMPLETED
MARL,open_33,20,0,1.0,11.599999999999977,28.300000000000132,163.699999999995,604528.3326642374,23875.0,9640,163.699999999995,COMPLETED
Random,open_33,20,1,1.0,18.29999999999999,38.50000000000028,159.39999999999523,584723.7948955479,23825.0,8615,159.39999999999523,COMPLETED
PF,open_33,20,1,1.0,6.499999999999993,17.49999999999998,30.30000000000016,120832.72366278993,13675.0,1502,30.30000000000016,COMPLETED
Consensus,open_33,20,1,1.0,6.5999999999999925,14.299999999999963,24.00000000000007,94003.68785630912,9400.0,956,24.00000000000007,COMPLETED
MARL,open_33,20,1,1.0,13.199999999999967,32.50000000000019,162.39999999999506,599962.3224436757,23900.0,9508,162.39999999999506,COMPLETED
Random,open_33,20,2,1.0,14.799999999999963,30.700000000000166,150.79999999999572,553071.3760954705,23825.0,8181,150.79999999999572,COMPLETED
PF,open_33,20,2,1.0,6.5999999999999925,17.799999999999983,32.30000000000019,129111.94891268852,13775.0,1708,32.30000000000019,COMPLETED
Consensus,open_33,20,2,1.0,6.5999999999999925,14.999999999999964,27.100000000000115,105796.53174721405,11925.0,1164,27.100000000000115,COMPLETED
MARL,open_33,20,2,1.0,12.79999999999997,34.30000000000022,160.89999999999517,597433.0593962665,23800.0,9476,160.89999999999517,COMPLETED
Random,partial_33,2,0,0.9257592800899888,204.49999999999267,468.10000000003794,inf,242424.00000000003,9175.0,2859,669.5000000000837,ALL_DEPLETED
PF,partial_33,2,0,0.8875140607424072,123.99999999999724,202.3999999999928,inf,242424.00000000003,575.0,1961,684.300000000087,ALL_DEPLETED
Consensus,partial_33,2,0,0.9640044994375704,87.19999999999932,190.29999999999347,inf,242424.00000000003,2750.0,1374,710.9000000000931,ALL_DEPLETED
MARL,partial_33,2,0,0.9595050618672666,87.4999999999993,173.7999999999944,inf,242424.00000000003,9575.0,2933,646.7000000000785,ALL_DEPLETED
Random,partial_33,2,1,0.9111361079865016,176.09999999999428,455.100000000035,inf,242424.00000000003,12150.0,2925,669.2000000000836,ALL_DEPLETED
PF,partial_33,2,1,1.0,110.199999999998,242.6999999999905,335.0000000000077,131706.4519690339,4000.0,1674,335.0000000000077,COMPLETED
Consensus,partial_33,2,1,0.4971878515185601,inf,inf,inf,242424.00000000003,125.0,843,717.5000000000946,ALL_DEPLETED
MARL,partial_33,2,1,0.9291338582677166,84.49999999999947,214.6999999999921,inf,242424.00000000003,5100.0,2833,648.900000000079,ALL_DEPLETED
Random,partial_33,2,2,0.938132733408324,189.0999999999935,373.3000000000164,inf,242424.00000000003,11150.0,2734,667.6000000000832,ALL_DEPLETED
PF,partial_33,2,2,0.9865016872890888,119.79999999999748,282.8999999999958,inf,242424.00000000003,3425.0,2467,691.5000000000887,ALL_DEPLETED
Consensus,partial_33,2,2,0.7244094488188977,132.69999999999675,inf,inf,242424.00000000003,1050.0,1218,710.500000000093,ALL_DEPLETED
MARL,partial_33,2,2,0.9482564679415072,114.49999999999775,323.200000000005,inf,242424.00000000003,1925.0,2820,649.3000000000791,ALL_DEPLETED
