ACO grid search — top 10 configs (mean across 3 maps × 4 drone counts × 2 seeds)

rank      α      β      ρ    score     cov    overlap   wasted     energy
--------------------------------------------------------------------------------
   1   0.50   4.00   0.05   +0.470   96.0%    10282m²     5298   441.0kJ
   2   0.50   4.00   0.15   +0.470   96.0%    10282m²     5298   441.0kJ
   3   0.50   4.00   0.30   +0.470   96.0%    10282m²     5298   441.0kJ
   4   1.00   4.00   0.05   +0.470   96.0%    10282m²     5298   441.0kJ
   5   1.00   4.00   0.15   +0.470   96.0%    10282m²     5298   441.0kJ
   6   1.00   4.00   0.30   +0.470   96.0%    10282m²     5298   441.0kJ
   7   2.00   4.00   0.05   +0.470   96.0%    10282m²     5298   441.0kJ
   8   2.00   4.00   0.15   +0.470   96.0%    10282m²     5298   441.0kJ
   9   2.00   4.00   0.30   +0.470   96.0%    10282m²     5298   441.0kJ
  10   0.50   1.00   0.05   +0.457   96.8%    12314m²     4416   365.2kJ
