elite_fraction,p_crossover,p_mutation,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.2,0.1,0.05,open_33,2,0,1.0,16275.0,2637,187179.60362750417,467.9000000000379,0.46537408366393207
0.2,0.1,0.05,open_33,2,1,1.0,15750.0,2541,184278.95183143002,461.10000000003635,0.47585459885680564
0.2,0.1,0.05,open_33,5,0,1.0,21000.0,3653,246429.50104269932,246.2999999999903,0.4415244749415981
0.2,0.1,0.05,open_33,5,1,1.0,20475.0,3277,222767.75927157316,220.69999999999175,0.45926315982369664
0.2,0.1,0.05,open_33,10,0,1.0,22475.0,4311,276203.8378204156,136.69999999999652,0.4411256441050624
0.2,0.1,0.05,open_33,10,1,1.0,22450.0,4090,263537.4860553923,131.49999999999682,0.4453399047427013
0.2,0.1,0.05,open_33,20,0,1.0,22650.0,5037,315055.39477220783,78.6999999999998,0.44646356761448025
0.2,0.1,0.05,open_33,20,1,1.0,22075.0,5546,338591.16884194314,85.09999999999944,0.44848135700280173
0.2,0.1,0.05,partial_33,2,0,0.8037735849056604,6900.0,3376,242424.00000000003,657.3000000000809,0.3029241497424491
0.2,0.1,0.05,partial_33,2,1,0.6981132075471698,3400.0,3408,242424.00000000003,662.6000000000821,0.24436163442662226
0.2,0.1,0.05,partial_33,5,0,1.0,17875.0,3597,257126.9694212575,264.89999999999173,0.42320996893975216
0.2,0.1,0.05,partial_33,5,1,0.9748427672955975,12100.0,9140,606060.0,674.0000000000847,0.37120613263050395
0.2,0.1,0.05,partial_33,10,0,1.0,16550.0,4408,299797.20130148693,153.89999999999554,0.4603017494379316
0.2,0.1,0.05,partial_33,10,1,1.0,17600.0,13281,871609.8604056768,469.90000000003835,0.347416411091566
0.2,0.1,0.05,partial_33,20,0,1.0,19000.0,6407,420488.36134517426,108.7999999999981,0.4212692250852142
0.2,0.1,0.05,partial_33,20,1,1.0,18575.0,5446,364157.9049103474,94.39999999999891,0.4361399076201144
0.2,0.1,0.05,closed_33,2,0,0.7041522491349481,3600.0,2711,242424.00000000003,668.1000000000834,0.22412703802923775
0.2,0.1,0.05,closed_33,2,1,0.8200692041522492,3475.0,2904,242424.00000000003,660.0000000000815,0.3455753457305326
0.2,0.1,0.05,closed_33,5,0,0.8494809688581315,6475.0,5440,606060.0,712.3000000000934,0.29544306817910004
