GA grid search — top 10 configs (mean across 3 maps × 4 drone counts × 2 seeds)

rank   elite    p_cx   p_mut    score     cov    overlap   wasted     energy
------------------------------------------------------------------------------------------
   1    0.40    0.10    0.30   +0.424   95.6%    13702m²     4264   321.3kJ
   2    0.20    0.10    0.15   +0.409   94.7%    14025m²     4413   334.8kJ
   3    0.20    0.10    0.30   +0.408   95.2%    13806m²     4803   392.5kJ
   4    0.60    0.10    0.05   +0.406   95.5%    14315m²     5241   396.6kJ
   5    0.60    0.10    0.30   +0.402   94.3%    13989m²     4567   379.0kJ
   6    0.40    0.10    0.05   +0.400   94.8%    14279m²     4980   389.3kJ
   7    0.20    0.10    0.05   +0.397   95.0%    14310m²     5318   400.0kJ
   8    0.60    0.10    0.15   +0.397   94.6%    13951m²     5692   462.5kJ
   9    0.20    0.40    0.30   +0.382   93.5%    14376m²     5153   375.0kJ
  10    0.40    0.10    0.15   +0.382   93.3%    13868m²     5483   442.2kJ
