a_initial,a_final,decay_steps,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
2.0,0.0,500,open_33,2,0,0.5598335067637877,9500.0,4063,242424.00000000003,629.1000000000745,0.031841962098403204
2.0,0.0,500,open_33,2,1,0.24141519250780438,2000.0,3828,242424.00000000003,635.900000000076,-0.21086038022562478
2.0,0.0,500,open_33,5,0,0.6170655567117586,12650.0,10828,606060.0,619.6000000000723,0.03023722388819325
2.0,0.0,500,open_33,5,1,0.5993756503642039,12625.0,10751,606060.0,616.5000000000716,0.012538506884083062
2.0,0.0,500,open_33,10,0,0.40582726326742974,5750.0,24210,1212120.0,642.9000000000776,-0.10566129173258434
2.0,0.0,500,open_33,10,1,0.4620187304890739,7050.0,24143,1212120.0,637.7000000000764,-0.06504151555132573
2.0,0.0,500,open_33,20,0,0.6160249739854319,10650.0,47875,2424240.0,635.5000000000759,0.04225840605488265
2.0,0.0,500,open_33,20,1,0.5026014568158168,7775.0,46678,2424240.0,636.6000000000762,-0.03585690206051781
2.0,0.0,500,partial_33,2,0,0.5433962264150943,8000.0,3369,242424.00000000003,663.1000000000822,0.01229335543939944
2.0,0.0,500,partial_33,2,1,0.5459119496855346,7525.0,3231,242424.00000000003,670.4000000000839,0.023407838325596814
2.0,0.0,500,partial_33,5,0,0.3283018867924528,1425.0,5588,606060.0,700.9000000000908,-0.12426508787002596
2.0,0.0,500,partial_33,5,1,0.25534591194968553,625.0,5382,606060.0,731.5000000000978,-0.1876282870597156
2.0,0.0,500,partial_33,10,0,0.8213836477987422,14550.0,16650,1212120.0,668.1000000000834,0.16863829795998828
2.0,0.0,500,partial_33,10,1,0.9874213836477987,18000.0,14911,1212120.0,649.100000000079,0.28628264862577657
2.0,0.0,500,partial_33,20,0,0.9081761006289308,17000.0,31504,2424240.0,667.3000000000832,0.21384916355284836
2.0,0.0,500,partial_33,20,1,0.959748427672956,17225.0,32709,2424240.0,666.1000000000829,0.2621425348537505
2.0,0.0,500,closed_33,2,0,0.08823529411764706,0.0,1432,242424.00000000003,731.6000000000978,-0.3458922251750779
2.0,0.0,500,closed_33,2,1,0.29238754325259514,2400.0,1367,242424.00000000003,712.6000000000935,-0.16887607831122645
2.0,0.0,500,closed_33,5,0,0.8512110726643599,9650.0,7085,606060.0,676.7000000000853,0.22590061273780407
2.0,0.0,500,closed_33,5,1,0.2820069204152249,1300.0,3639,606060.0,732.8000000000981,-0.17656549164415178
2.0,0.0,500,closed_33,10,0,0.47058823529411764,4975.0,3770,1212120.0,732.400000000098,-0.056955380652323945
2.0,0.0,500,closed_33,10,1,0.4013840830449827,3825.0,2930,1212120.0,733.9000000000983,-0.1004607409061031
2.0,0.0,500,closed_33,20,0,0.9429065743944637,12450.0,14079,2424240.0,716.2000000000943,0.25116487294063805
2.0,0.0,500,closed_33,20,1,0.4844290657439446,2950.0,6466,2424240.0,732.400000000098,-0.008809230138286356
2.0,0.0,1500,open_33,2,0,0.6326742976066597,9850.0,4027,242424.00000000003,625.8000000000737,0.10458572571945571
2.0,0.0,1500,open_33,2,1,0.7148803329864725,10375.0,4032,242424.00000000003,633.8000000000756,0.18455784642521952
2.0,0.0,1500,open_33,5,0,0.7221644120707597,13175.0,11212,606060.0,629.2000000000745,0.1306908199479964
2.0,0.0,1500,open_33,5,1,0.6618106139438086,13750.0,11812,606060.0,630.8000000000749,0.060997783151595514
2.0,0.0,1500,open_33,10,0,0.8293444328824141,16175.0,21442,1212120.0,656.6000000000807,0.19367426396400575
2.0,0.0,1500,open_33,10,1,0.7669094693028096,15650.0,23154,1212120.0,619.6000000000723,0.13629811984913806
2.0,0.0,1500,open_33,20,0,0.8969823100936525,19425.0,50448,2424240.0,627.7000000000742,0.21501798536793634
2.0,0.0,1500,open_33,20,1,0.9771071800208116,22350.0,47031,2424240.0,623.9000000000733,0.2594508686381989
2.0,0.0,1500,partial_33,2,0,0.5547169811320755,8000.0,3207,242424.00000000003,662.300000000082,0.025784267074920014
2.0,0.0,1500,partial_33,2,1,0.620125786163522,8200.0,3386,242424.00000000003,655.2000000000804,0.09003614041743882
2.0,0.0,1500,partial_33,5,0,0.7119496855345911,11225.0,8289,606060.0,667.5000000000832,0.11724688582768969
2.0,0.0,1500,partial_33,5,1,0.2742138364779874,500.0,5441,606060.0,730.3000000000975,-0.1662209656201528
2.0,0.0,1500,partial_33,10,0,0.9823899371069182,18200.0,16806,1212120.0,675.100000000085,0.2765508518954406
2.0,0.0,1500,partial_33,10,1,0.6628930817610063,8875.0,15672,1212120.0,685.9000000000874,0.0942462348854777
2.0,0.0,1500,partial_33,20,0,0.959748427672956,17725.0,33258,2424240.0,694.3000000000893,0.25448501070709995
2.0,0.0,1500,partial_33,20,1,0.9333333333333333,16425.0,34232,2424240.0,685.3000000000873,0.24732908867072143
2.0,0.0,1500,closed_33,2,0,0.08650519031141868,0.0,955,242424.00000000003,729.8000000000974,-0.34301388099869745
2.0,0.0,1500,closed_33,2,1,0.4532871972318339,4250.0,864,242424.00000000003,714.5000000000939,-0.009587923213028482
2.0,0.0,1500,closed_33,5,0,0.3356401384083045,2025.0,2974,606060.0,728.300000000097,-0.1324746164062773
2.0,0.0,1500,closed_33,5,1,0.29411764705882354,2075.0,4321,606060.0,731.5000000000978,-0.18205033673652568
2.0,0.0,1500,closed_33,10,0,0.2837370242214533,1700.0,7121,1212120.0,732.500000000098,-0.18924793457560932
2.0,0.0,1500,closed_33,10,1,0.29238754325259514,2075.0,2233,1212120.0,732.8000000000981,-0.17402907547567856
2.0,0.0,1500,closed_33,20,0,0.8944636678200693,10925.0,23603,2424240.0,726.8000000000967,0.2296329626377915
2.0,0.0,1500,closed_33,20,1,0.8806228373702422,10975.0,10138,2424240.0,724.5000000000962,0.22266578983374294
2.0,0.0,3000,open_33,2,0,0.619146722164412,8950.0,4069,242424.00000000003,632.2000000000752,0.10121556255226952
2.0,0.0,3000,open_33,2,1,0.7429760665972945,10425.0,4021,242424.00000000003,631.1000000000749,0.21359231548641786
2.0,0.0,3000,open_33,5,0,1.0,22175.0,5171,332288.5236411368,337.2000000000082,0.39092108143843823
2.0,0.0,3000,open_33,5,1,0.9989594172736732,21825.0,10696,606060.0,632.7000000000753,0.30669466154001324
2.0,0.0,3000,open_33,10,0,1.0,22825.0,7045,442357.1746964089,222.29999999999166,0.39828060069106896
2.0,0.0,3000,open_33,10,1,1.0,22650.0,7359,457572.88535471284,231.09999999999116,0.39729356725982357
2.0,0.0,3000,open_33,20,0,1.0,22800.0,14355,829755.7926928704,207.3999999999925,0.38468035325464395
2.0,0.0,3000,open_33,20,1,1.0,23175.0,12341,715512.1109937048,178.79999999999413,0.3896547371290501
2.0,0.0,3000,partial_33,2,0,0.9484276729559749,14225.0,3189,242424.00000000003,641.6000000000773,0.34663373406471987
2.0,0.0,3000,partial_33,2,1,0.45031446540880504,5075.0,3026,242424.00000000003,673.4000000000846,-0.0389961639680628
2.0,0.0,3000,partial_33,5,0,0.49433962264150944,3200.0,6540,606060.0,730.8000000000976,0.018598916675057836
2.0,0.0,3000,partial_33,5,1,0.32075471698113206,1625.0,5529,606060.0,727.0000000000967,-0.13499188827126665
2.0,0.0,3000,partial_33,10,0,0.5106918238993711,7575.0,10350,1212120.0,732.400000000098,-0.036768330951551215
2.0,0.0,3000,partial_33,10,1,0.9710691823899371,17425.0,14225,1212120.0,675.300000000085,0.27904895863868795
2.0,0.0,3000,partial_33,20,0,0.9672955974842767,18150.0,34405,2424240.0,683.1000000000868,0.2554477107459424
2.0,0.0,3000,partial_33,20,1,0.9622641509433962,18300.0,26496,2424240.0,682.3000000000866,0.25001191141121504
2.0,0.0,3000,closed_33,2,0,0.11591695501730104,0.0,1687,242424.00000000003,709.7000000000928,-0.3170679683325026
2.0,0.0,3000,closed_33,2,1,0.4273356401384083,4175.0,1252,242424.00000000003,709.8000000000928,-0.05435404969454197
2.0,0.0,3000,closed_33,5,0,0.8633217993079585,8975.0,5717,606060.0,715.5000000000941,0.2566281865157297
2.0,0.0,3000,closed_33,5,1,0.3546712802768166,2225.0,941,606060.0,731.4000000000977,-0.08230201432795684
2.0,0.0,3000,closed_33,10,0,0.3062283737024221,2275.0,5387,1212120.0,728.4000000000971,-0.17590441076276866
2.0,0.0,3000,closed_33,10,1,0.25432525951557095,1250.0,2912,1212120.0,733.3000000000982,-0.20165426604975908
2.0,0.0,3000,closed_33,20,0,0.671280276816609,7100.0,9233,2424240.0,730.5000000000975,0.09152952253738492
2.0,0.0,3000,closed_33,20,1,0.9965397923875432,13250.0,10995,2424240.0,722.7000000000958,0.2919427291930259
2.0,0.5,500,open_33,2,0,1.0,19450.0,3034,218214.95179741457,556.800000000058,0.3992733260509751
2.0,0.5,500,open_33,2,1,1.0,19225.0,2941,215653.73582297907,550.6000000000566,0.40532893936496284
2.0,0.5,500,open_33,5,0,1.0,21950.0,5470,343438.23944822606,344.3000000000098,0.3888873786213611
2.0,0.5,500,open_33,5,1,1.0,22450.0,5955,370567.6477256253,373.9000000000165,0.3730342481342378
2.0,0.5,500,open_33,10,0,1.0,23400.0,9711,568225.6982139319,284.5999999999962,0.3671053580544814
2.0,0.5,500,open_33,10,1,1.0,22900.0,9292,541726.5033535108,271.3999999999932,0.3776106600342901
2.0,0.5,500,open_33,20,0,1.0,22675.0,16205,911256.9256511666,225.79999999999146,0.379356487700904
2.0,0.5,500,open_33,20,1,1.0,22925.0,16430,919458.0579659799,228.3999999999913,0.3755288013562279
2.0,0.5,500,partial_33,2,0,0.879245283018868,14175.0,3124,242424.00000000003,643.3000000000777,0.2756907847295226
2.0,0.5,500,partial_33,2,1,0.9220125786163522,14275.0,3129,242424.00000000003,645.7000000000783,0.31903584569101506
2.0,0.5,500,partial_33,5,0,0.9974842767295597,16675.0,7083,606060.0,672.9000000000844,0.3315474072441502
2.0,0.5,500,partial_33,5,1,0.6477987421383647,8775.0,5345,606060.0,701.2000000000909,0.09726665521855163
2.0,0.5,500,partial_33,10,0,0.690566037735849,11600.0,13145,1212120.0,685.1000000000872,0.08305441885059447
2.0,0.5,500,partial_33,10,1,0.7660377358490567,11575.0,12027,1212120.0,694.0000000000892,0.1613349997312262
2.0,0.5,500,partial_33,20,0,0.8905660377358491,15750.0,13114,2424240.0,716.6000000000944,0.22375255077509895
2.0,0.5,500,partial_33,20,1,0.9446540880503145,17500.0,13215,2424240.0,709.7000000000928,0.2521907351516457
2.0,0.5,500,closed_33,2,0,0.11418685121107267,0.0,1731,242424.00000000003,723.500000000096,-0.319239229293472
2.0,0.5,500,closed_33,2,1,0.48788927335640137,3200.0,1780,242424.00000000003,710.700000000093,0.018036970783825185
2.0,0.5,500,closed_33,5,0,0.8339100346020761,8500.0,4606,606060.0,722.7000000000958,0.24141481324309225
2.0,0.5,500,closed_33,5,1,0.35986159169550175,2425.0,3885,606060.0,731.3000000000977,-0.11968333234234083
2.0,0.5,500,closed_33,10,0,0.2906574394463668,1900.0,4004,1212120.0,733.1000000000981,-0.18115283486733288
2.0,0.5,500,closed_33,10,1,0.2370242214532872,1425.0,2508,1212120.0,734.1000000000984,-0.22146624571471352
2.0,0.5,500,closed_33,20,0,0.44809688581314877,2600.0,9517,2424240.0,733.5000000000982,-0.04237876137907429
