GWO grid search — top 10 configs

rank     a0     af   decay    score     cov    overlap   wasted     energy
--------------------------------------------------------------------------------
   1   5.00   0.50    3000   +0.251   84.4%    14702m²     6555   785.1kJ
   2   3.00   1.00    3000   +0.240   82.2%    14009m²     6883   722.4kJ
   3   2.00   0.50    3000   +0.232   81.3%    14160m²     6483   737.1kJ
   4   2.00   1.00    1500   +0.228   81.5%    14081m²     7386   773.4kJ
   5   3.00   1.00    1500   +0.223   80.3%    13823m²     7171   839.8kJ
   6   3.00   0.50    3000   +0.222   80.3%    13791m²     6445   806.4kJ
   7   5.00   1.00    1500   +0.221   80.8%    13752m²     7648   881.8kJ
   8   5.00   1.00    3000   +0.213   79.6%    13760m²     6440   852.7kJ
   9   5.00   0.50     500   +0.212   79.8%    13819m²     9163   855.9kJ
  10   5.00   1.00     500   +0.211   78.1%    13065m²     7364   812.5kJ
