PSO grid search — top 10 configs (mean across 3 maps × 4 drone counts × 2 seeds)

rank  inertia   cognit   social    score     cov    overlap   wasted     energy
------------------------------------------------------------------------------------------
   1     0.50     3.00     0.00   +0.444   92.9%    10005m²     4568   509.2kJ
   2     0.50     5.00     0.25   +0.423   89.6%     9798m²     3782   460.0kJ
   3     1.50     3.00     0.25   +0.419   94.0%    12174m²     4087   436.7kJ
   4     0.50     5.00     0.00   +0.414   88.7%     8044m²     5590   551.5kJ
   5     1.50     3.00     0.00   +0.414   93.3%    11372m²     4934   502.8kJ
   6     1.00     5.00     0.25   +0.411   92.0%    10443m²     4563   652.4kJ
   7     1.50     5.00     0.50   +0.404   90.6%    11695m²     3389   439.9kJ
   8     0.50     5.00     0.50   +0.404   88.4%    10985m²     3033   329.3kJ
   9     1.00     3.00     0.00   +0.400   89.5%    10552m²     4220   434.6kJ
  10     0.50     3.00     0.25   +0.389   90.3%    11961m²     3993   482.5kJ
