T_initial,cooling_rate,perturb_radius,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.5,0.95,3.0,open_33,2,0,1.0,16775.0,2980,210760.21686021163,518.1000000000492,0.4381066308883351
0.5,0.95,3.0,open_33,2,1,1.0,17625.0,3412,231468.1692650179,569.2000000000609,0.4079274456543276
0.5,0.95,3.0,open_33,5,0,1.0,19750.0,2961,209821.9874721747,207.1999999999925,0.4768826842465217
0.5,0.95,3.0,open_33,5,1,1.0,18975.0,2930,205611.2677710238,202.59999999999278,0.4881493086153941
0.5,0.95,3.0,open_33,10,0,1.0,19750.0,3252,220902.00290113548,109.29999999999806,0.49548875895069006
0.5,0.95,3.0,open_33,10,1,1.0,20100.0,2929,208354.79649634263,103.09999999999842,0.49829558553838305
0.5,0.95,3.0,open_33,20,0,1.0,20825.0,2970,202718.70350343455,50.400000000000446,0.5012198255471029
0.5,0.95,3.0,open_33,20,1,1.0,21275.0,3443,225454.6824093135,56.30000000000053,0.4863690903007283
0.5,0.95,3.0,partial_33,2,0,0.6955974842767295,2450.0,3475,242424.00000000003,657.0000000000808,0.2553586009047776
0.5,0.95,3.0,partial_33,2,1,0.39748427672955977,0.0,3743,242424.00000000003,669.2000000000836,-0.023604661432549107
0.5,0.95,3.0,partial_33,5,0,0.7484276729559748,6625.0,8904,606060.0,683.2000000000868,0.22277468024329158
0.5,0.95,3.0,partial_33,5,1,0.9534591194968554,12125.0,9120,606060.0,665.4000000000827,0.34901666155185507
0.5,0.95,3.0,partial_33,10,0,1.0,17425.0,15102,1043508.6146144457,576.9000000000626,0.3276323952051273
0.5,0.95,3.0,partial_33,10,1,0.9987421383647799,17275.0,17385,1212120.0,683.4000000000868,0.30664600790900365
0.5,0.95,3.0,partial_33,20,0,1.0,17075.0,3146,222430.42264072876,57.00000000000054,0.48952862679255055
0.5,0.95,3.0,partial_33,20,1,0.9861635220125786,17250.0,34379,2424240.0,691.5000000000887,0.2880305681518792
0.5,0.95,3.0,closed_33,2,0,0.5,1025.0,1871,242424.00000000003,716.2000000000943,0.07441416762783545
0.5,0.95,3.0,closed_33,2,1,0.25951557093425603,0.0,2243,242424.00000000003,708.8000000000926,-0.16612402603839568
0.5,0.95,3.0,closed_33,5,0,0.6868512110726643,2300.0,5265,606060.0,722.8000000000958,0.21569087155159058
0.5,0.95,3.0,closed_33,5,1,0.8633217993079585,4525.0,6655,606060.0,689.3000000000882,0.34585807462926077
0.5,0.95,3.0,closed_33,10,0,0.7664359861591695,5050.0,9801,1212120.0,727.4000000000968,0.23012069892921064
0.5,0.95,3.0,closed_33,10,1,1.0,11725.0,12055,1180657.6034885857,672.4000000000843,0.32960517851607535
0.5,0.95,3.0,closed_33,20,0,1.0,11725.0,7824,779926.7422362943,221.19999999999172,0.4307416562815626
0.5,0.95,3.0,closed_33,20,1,1.0,11600.0,4849,450350.7910965816,125.79999999999713,0.4642874763761584
0.5,0.95,6.0,open_33,2,0,0.9906347554630593,15800.0,3580,242424.00000000003,599.9000000000678,0.41191436097025946
0.5,0.95,6.0,open_33,2,1,0.9885535900104059,17975.0,3620,242424.00000000003,598.2000000000675,0.382018690009318
0.5,0.95,6.0,open_33,5,0,1.0,21650.0,4433,288563.4499748328,285.59999999999644,0.41433052587735497
0.5,0.95,6.0,open_33,5,1,1.0,21600.0,4125,270434.1326586538,268.1999999999925,0.42251244229456475
0.5,0.95,6.0,open_33,10,0,1.0,21950.0,4259,276681.078581447,137.49999999999648,0.44816920010752315
0.5,0.95,6.0,open_33,10,1,1.0,21625.0,4237,270800.31760421954,133.89999999999668,0.4531620189281224
0.5,0.95,6.0,open_33,20,0,1.0,22150.0,4145,265816.23955101846,66.30000000000051,0.464037862621391
0.5,0.95,6.0,open_33,20,1,1.0,22750.0,5693,343473.7373720631,85.29999999999943,0.4387829069740153
0.5,0.95,6.0,partial_33,2,0,0.3635220125786163,0.0,3464,242424.00000000003,674.3000000000848,-0.0578209130808561
0.5,0.95,6.0,partial_33,2,1,0.4238993710691824,250.0,3217,242424.00000000003,681.0000000000863,0.004128162203039326
0.5,0.95,6.0,partial_33,5,0,0.9433962264150944,11450.0,9073,606060.0,666.2000000000829,0.34902701933232894
0.5,0.95,6.0,partial_33,5,1,0.9383647798742139,11375.0,8746,606060.0,686.5000000000875,0.3457999719061666
0.5,0.95,6.0,partial_33,10,0,1.0,18250.0,13082,857647.6288861468,459.2000000000359,0.3395119024000712
0.5,0.95,6.0,partial_33,10,1,1.0,17900.0,15860,1025179.0488059036,554.0000000000574,0.3219640526215331
0.5,0.95,6.0,partial_33,20,0,1.0,18200.0,5739,380240.15816077543,98.1999999999987,0.4391283975319812
0.5,0.95,6.0,partial_33,20,1,1.0,18550.0,11398,728902.5349971824,191.4999999999934,0.39612991736947584
0.5,0.95,6.0,closed_33,2,0,0.41522491349480967,0.0,2474,242424.00000000003,702.4000000000912,-0.002690422622442429
0.5,0.95,6.0,closed_33,2,1,0.28719723183391005,0.0,2171,242424.00000000003,705.8000000000919,-0.13593784162208764
0.5,0.95,6.0,closed_33,5,0,0.8494809688581315,4300.0,4154,606060.0,713.8000000000937,0.3474746857733363
0.5,0.95,6.0,closed_33,5,1,0.6055363321799307,3525.0,4511,606060.0,724.2000000000961,0.10950899045759702
0.5,0.95,6.0,closed_33,10,0,0.8944636678200693,6450.0,9907,1212120.0,725.4000000000964,0.33098831386948124
0.5,0.95,6.0,closed_33,10,1,0.8512110726643599,6775.0,10897,1212120.0,719.6000000000951,0.2790690623357578
0.5,0.95,6.0,closed_33,20,0,0.9515570934256056,10625.0,19648,2424240.0,727.8000000000969,0.2946935393430491
0.5,0.95,6.0,closed_33,20,1,1.0,13500.0,8423,752621.2378268205,209.59999999999238,0.3941439826238548
0.5,0.95,10.0,open_33,2,0,0.9885535900104059,16900.0,3570,242424.00000000003,600.500000000068,0.39613206601203077
0.5,0.95,10.0,open_33,2,1,0.991675338189386,17975.0,3592,242424.00000000003,599.7000000000678,0.38568149010530606
0.5,0.95,10.0,open_33,5,0,1.0,20600.0,5544,345155.28322916286,347.70000000001056,0.40482561265567807
0.5,0.95,10.0,open_33,5,1,1.0,21600.0,5015,317791.71363937465,316.00000000000335,0.40278349506584
0.5,0.95,10.0,open_33,10,0,1.0,22325.0,6187,376051.40619099815,186.59999999999368,0.4167480105017409
0.5,0.95,10.0,open_33,10,1,1.0,22300.0,7500,451247.87908534356,227.09999999999138,0.4018402895966161
0.5,0.95,10.0,open_33,20,0,1.0,22850.0,7204,421723.3704869505,105.69999999999827,0.4248537539403753
0.5,0.95,10.0,open_33,20,1,1.0,22300.0,7032,414337.30572524946,104.59999999999833,0.4329215003757527
0.5,0.95,10.0,partial_33,2,0,0.9132075471698113,9550.0,3378,242424.00000000003,643.5000000000778,0.3776823347677368
0.5,0.95,10.0,partial_33,2,1,0.5710691823899371,825.0,3473,242424.00000000003,662.100000000082,0.1488548718515422
0.5,0.95,10.0,partial_33,5,0,0.989937106918239,16475.0,9445,606060.0,644.1000000000779,0.3198880848999234
0.5,0.95,10.0,partial_33,5,1,0.9522012578616352,13750.0,8871,606060.0,675.0000000000849,0.32379709686719127
0.5,0.95,10.0,partial_33,10,0,1.0,18625.0,7791,493370.3702386499,253.0999999999899,0.3878523410592793
0.5,0.95,10.0,partial_33,10,1,1.0,18325.0,7787,504527.3175282867,263.59999999999144,0.39106405239285497
0.5,0.95,10.0,partial_33,20,0,1.0,18875.0,5584,371286.8493699664,95.79999999999883,0.43036011476883573
0.5,0.95,10.0,partial_33,20,1,1.0,18900.0,6434,411641.7790916674,105.79999999999826,0.42318208235950705
0.5,0.95,10.0,closed_33,2,0,0.24740484429065743,0.0,2540,242424.00000000003,718.6000000000948,-0.18105003623280302
0.5,0.95,10.0,closed_33,2,1,0.2768166089965398,725.0,2148,242424.00000000003,712.6000000000935,-0.16188251152569635
0.5,0.95,10.0,closed_33,5,0,0.2820069204152249,800.0,4093,606060.0,732.700000000098,-0.16755685891487657
0.5,0.95,10.0,closed_33,5,1,0.7508650519031141,3175.0,5534,606060.0,718.7000000000949,0.2623200063287682
0.5,0.95,10.0,closed_33,10,0,1.0,12150.0,6868,635450.1227122367,353.30000000001183,0.39531398760368963
0.5,0.95,10.0,closed_33,10,1,1.0,11800.0,6579,560027.116580059,306.2000000000011,0.41250869807920343
0.5,0.95,10.0,closed_33,20,0,1.0,12700.0,5439,437103.2197572994,117.19999999999762,0.4391064350567909
0.5,0.95,10.0,closed_33,20,1,1.0,12600.0,5492,469556.18794508,127.999999999997,0.43899727523700666
0.5,0.99,3.0,open_33,2,0,1.0,16775.0,2980,210760.21686021163,518.1000000000492,0.4381066308883351
