SA grid search — top 10 configs

rank      T       α      σ    score     cov    overlap   wasted     energy
--------------------------------------------------------------------------------
   1   0.50   0.999   3.00   +0.359   87.3%    12064m²     4476   367.0kJ
   2   1.00   0.950   3.00   +0.356   87.9%    12319m²     4936   394.6kJ
   3   5.00   0.950   3.00   +0.354   88.3%    12243m²     5740   502.0kJ
   4   1.00   0.990   3.00   +0.350   88.7%    12642m²     5704   489.4kJ
   5   5.00   0.999   3.00   +0.349   89.7%    13248m²     6122   520.6kJ
   6   5.00   0.990   3.00   +0.344   87.4%    12867m²     5071   403.2kJ
   7   5.00   0.990   6.00   +0.343   90.1%    13322m²     6619   544.8kJ
   8   5.00   0.999   6.00   +0.342   89.7%    13454m²     6005   476.0kJ
   9   0.50   0.990   3.00   +0.340   86.9%    12217m²     5614   447.2kJ
  10   5.00   0.950   6.00   +0.340   88.7%    13203m²     5973   516.6kJ
