policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
Random,open_33,2,0,0.9375650364203955,160.49999999999517,376.9000000000172,inf,242424.00000000003,14075.0,2320,665.3000000000827,ALL_DEPLETED
Random,open_33,2,1,0.9500520291363164,190.99999999999343,440.40000000003164,inf,242424.00000000003,13325.0,2353,661.6000000000819,ALL_DEPLETED
Random,open_33,2,2,0.9573361082206036,162.49999999999505,345.00000000000995,inf,242424.00000000003,14775.0,2421,655.3000000000804,ALL_DEPLETED
PSO,open_33,2,0,0.9125910509885536,114.09999999999779,309.1000000000018,inf,242424.00000000003,6250.0,3833,592.000000000066,ALL_DEPLETED
PSO,open_33,2,1,0.9698231009365245,99.29999999999863,227.29999999999137,inf,242424.00000000003,7750.0,3691,593.1000000000663,ALL_DEPLETED
PSO,open_33,2,2,0.8772112382934444,101.89999999999849,266.69999999999214,inf,242424.00000000003,7100.0,3856,590.6000000000657,ALL_DEPLETED
GA,open_33,2,0,1.0,97.39999999999874,217.69999999999192,565.60000000006,225107.59953750094,17175.0,3292,565.60000000006,COMPLETED
GA,open_33,2,1,1.0,99.69999999999861,223.69999999999158,539.000000000054,214814.62088900903,17500.0,3035,539.000000000054,COMPLETED
GA,open_33,2,2,1.0,97.9999999999987,225.59999999999147,497.8000000000447,198730.087147883,16125.0,2796,497.8000000000447,COMPLETED
ACO,open_33,2,0,0.9729448491155047,121.79999999999735,224.8999999999915,inf,242424.00000000003,12925.0,3490,623.7000000000733,ALL_DEPLETED
ACO,open_33,2,1,1.0,98.39999999999868,254.09999999998985,602.5000000000684,236975.45846053638,8550.0,3380,602.5000000000684,COMPLETED
ACO,open_33,2,2,0.9947970863683663,99.8999999999986,203.8999999999927,inf,242424.00000000003,11725.0,3553,621.4000000000727,ALL_DEPLETED
SA,open_33,2,0,1.0,95.79999999999883,198.19999999999303,519.7000000000496,211358.0280426821,14975.0,2961,519.7000000000496,COMPLETED
SA,open_33,2,1,1.0,91.59999999999907,197.39999999999307,563.4000000000595,229193.67041866656,17175.0,3345,563.4000000000595,COMPLETED
SA,open_33,2,2,1.0,98.59999999999867,199.99999999999292,571.1000000000613,232073.09023059384,16425.0,3378,571.1000000000613,COMPLETED
GWO,open_33,2,0,1.0,170.19999999999462,367.6000000000151,574.400000000062,221032.06443501604,18975.0,2931,574.400000000062,COMPLETED
GWO,open_33,2,1,1.0,207.79999999999248,394.5000000000212,600.0000000000679,231084.4052318861,18425.0,3158,600.0000000000679,COMPLETED
GWO,open_33,2,2,1.0,152.59999999999562,337.7000000000083,611.5000000000705,236790.47277400468,19150.0,3238,611.5000000000705,COMPLETED
Random,open_33,5,0,1.0,57.80000000000055,134.69999999999663,565.30000000006,522402.9740631012,23400.0,6288,565.30000000006,COMPLETED
Random,open_33,5,1,0.9989594172736732,84.29999999999949,174.1999999999944,inf,606060.0,23775.0,7317,664.1000000000824,ALL_DEPLETED
Random,open_33,5,2,0.9937565036420395,68.2000000000004,149.3999999999958,inf,606060.0,23125.0,6995,664.8000000000826,ALL_DEPLETED
PSO,open_33,5,0,1.0,43.10000000000034,184.19999999999382,293.6999999999983,301044.015836493,17600.0,4893,293.6999999999983,COMPLETED
PSO,open_33,5,1,1.0,43.50000000000035,104.19999999999835,372.9000000000163,382555.29078968905,16200.0,6460,372.9000000000163,COMPLETED
PSO,open_33,5,2,0.9500520291363164,54.1000000000005,132.99999999999673,inf,606060.0,15900.0,10939,590.5000000000657,ALL_DEPLETED
