policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
Random,open_33,2,0,0.9552549427679501,148.29999999999586,348.2000000000107,inf,242424.00000000003,15100.0,3096,665.3000000000827,ALL_DEPLETED
Random,open_33,2,1,0.951092611862643,174.49999999999437,434.9000000000304,inf,242424.00000000003,13925.0,3086,661.6000000000819,ALL_DEPLETED
Random,open_33,2,2,0.9719042663891779,132.79999999999674,295.1999999999986,inf,242424.00000000003,15300.0,3094,655.3000000000804,ALL_DEPLETED
Boustrophedon,open_33,2,0,1.0,105.89999999999826,209.3999999999924,322.7000000000049,122985.53651917528,8800.0,1069,322.7000000000049,COMPLETED
Boustrophedon,open_33,2,1,1.0,96.69999999999878,194.8999999999932,301.40000000000003,114653.33309451485,5000.0,1004,301.40000000000003,COMPLETED
Boustrophedon,open_33,2,2,1.0,103.09999999999842,208.29999999999245,323.300000000005,123198.20729951345,6600.0,1087,323.300000000005,COMPLETED
Spiral,open_33,2,0,1.0,146.69999999999595,234.39999999999097,366.3000000000148,148367.9963084135,10625.0,2004,366.3000000000148,COMPLETED
Spiral,open_33,2,1,1.0,97.79999999999872,194.29999999999325,368.2000000000152,149713.8571051236,8425.0,1945,368.2000000000152,COMPLETED
Spiral,open_33,2,2,1.0,126.2999999999971,223.79999999999157,363.2000000000141,148083.7837242875,12800.0,1827,363.2000000000141,COMPLETED
VoronoiPartition,open_33,2,0,1.0,112.2999999999979,188.89999999999355,271.2999999999932,98955.0198799416,4000.0,669,271.2999999999932,COMPLETED
VoronoiPartition,open_33,2,1,1.0,105.79999999999826,184.99999999999378,259.7999999999906,94749.21880338926,950.0,587,259.7999999999906,COMPLETED
VoronoiPartition,open_33,2,2,1.0,108.5999999999981,190.79999999999345,276.89999999999446,101381.97521400516,1575.0,681,276.89999999999446,COMPLETED
GridDecomposition,open_33,2,0,1.0,146.99999999999594,237.59999999999079,359.4000000000132,145171.6218131865,5875.0,2211,359.4000000000132,COMPLETED
GridDecomposition,open_33,2,1,1.0,153.19999999999558,272.6999999999935,382.6000000000185,154568.41208911288,2700.0,2402,382.6000000000185,COMPLETED
GridDecomposition,open_33,2,2,1.0,154.7999999999955,256.09999999998973,379.2000000000177,153347.33783473165,3600.0,2346,379.2000000000177,COMPLETED
STC,open_33,2,0,1.0,110.399999999998,201.19999999999285,278.99999999999494,112133.22549210838,1375.0,1243,278.99999999999494,COMPLETED
STC,open_33,2,1,0.6940686784599376,427.0000000000286,inf,inf,242424.00000000003,0.0,3344,599.9000000000678,ALL_DEPLETED
STC,open_33,2,2,1.0,217.49999999999193,395.9000000000215,468.10000000003794,190085.36195153295,1200.0,2486,468.10000000003794,COMPLETED
Random,open_33,5,0,1.0,53.100000000000485,121.79999999999735,611.8000000000706,566094.4949271844,23800.0,8865,611.8000000000706,COMPLETED
Random,open_33,5,1,1.0,74.00000000000007,171.39999999999455,652.1000000000797,600064.7612191676,23825.0,9143,652.1000000000797,COMPLETED
