policy,coverage_pct,time_to_100_s,time_to_80_s,energy_kJ,overlap_m2,wasted_visits,completion_rate,n_runs
SA,98.03,328.84,122.24,274.0,8111.81,1715.83,0.75,36
GA,97.15,331.3,153.57,333.12,7786.11,1876.89,0.75,36
VoronoiPartition,96.47,410.8,160.93,399.16,4871.53,1430.56,0.69,36
ACO,96.95,349.97,162.18,261.24,8981.25,2018.08,0.75,36
STC,96.51,442.65,211.51,350.9,5615.97,2514.61,0.64,36
GridDecomposition,94.62,397.03,221.94,312.37,7527.08,2859.5,0.69,36
Boustrophedon,86.22,445.67,309.0,373.51,8640.97,1695.81,0.64,36
PSO,89.67,444.9,252.83,414.71,7304.86,2011.86,0.64,36
Spiral,95.25,417.31,213.91,401.52,11283.33,3021.44,0.69,36
Consensus,84.92,469.16,290.48,458.64,5824.31,2043.03,0.58,36
PF,92.87,438.96,211.47,411.14,8249.31,3378.53,0.64,36
Random,96.52,697.18,222.57,683.91,17098.61,8635.81,0.47,36
MARL,94.62,826.0,169.81,757.94,14577.78,9231.08,0.22,36
GWO,80.09,668.24,438.19,756.74,14873.61,8207.47,0.5,36
